Commodity,Classification,Grade,Sex,Market,Wholesale,Retail,Supply Volume,County,Date
Meat Beef,-,-,-,Mbale,-,600.00/Kg,1200.00,Vihiga,2025-02-11
Meat Beef,-,-,-,Mbale,550.00/Kg,600.00/Kg,2000.00,Vihiga,2025-02-06
Meat Beef,-,-,-,Mbale,500.00/Kg,600.00/Kg,2000.00,Vihiga,2025-01-31
Meat Beef,-,-,-,Mbale,-,700.00/Kg,900.00,Vihiga,2025-01-28
Meat Beef,-,-,-,Mbale,-,500.00/Kg,700.00,Vihiga,2025-01-22
Meat Beef,-,-,-,Kangemi Market,-,650.00/Kg,,Nairobi,2024-11-11
Meat Beef,-,-,-,Kangemi Market,-,680.00/Kg,,Nairobi,2024-11-05
Meat Beef,-,-,-,Kipkaren,400.00/Kg,550.00/Kg,1000.00,Kakamega,2024-10-10
Meat Beef,-,-,-,Awendo,400.00/Kg,500.00/Kg,,Migori,2024-10-10
Meat Beef,-,-,-,Awendo,400.00/Kg,500.00/Kg,,Migori,2024-10-10
Meat Beef,-,-,-,Rongo,580.00/Kg,600.00/Kg,1300.00,Migori,2024-10-09
Meat Beef,-,-,-,Makutano Embu,-,700.00/Kg,,Embu,2024-10-09
Meat Beef,-,-,-,Bondo,500.00/Kg,600.00/Kg,4000.00,Siaya,2024-10-08
Meat Beef,-,-,-,Cheptulu,550.00/Kg,600.00/Kg,380.00,Vihiga,2024-10-08
Meat Beef,-,-,-,Kirwara Market,-,600.00/Kg,,Muranga,2024-10-08
Meat Beef,-,-,-,Ngurubani Market,500.00/Kg,700.00/Kg,1800.00,Kirinyaga,2024-10-08
Meat Beef,-,-,-,Rongo,480.00/Kg,600.00/Kg,1500.00,Migori,2024-10-07
Meat Beef,-,-,-,Aram,-,600.00/Kg,135.00,Siaya,2024-10-07
Meat Beef,-,-,-,Aram,-,600.00/Kg,135.00,Siaya,2024-10-07
Meat Beef,-,-,-,Sikhendu,-,0.71/Kg,778.80,Trans-Nzoia,2024-10-05
Meat Beef,-,-,-,Awendo,400.00/Kg,500.00/Kg,,Migori,2024-10-05
Meat Beef,-,-,-,Rongo,480.00/Kg,600.00/Kg,1500.00,Migori,2024-10-04
Meat Beef,-,-,-,Kirwara Market,-,600.00/Kg,,Muranga,2024-10-04
Meat Beef,-,-,-,Ilbissil Livestock Market,450.00/Kg,650.00/Kg,850.00,Kajiado,2024-10-04
Meat Beef,-,-,-,Ngurubani Market,500.00/Kg,700.00/Kg,1900.00,Kirinyaga,2024-10-04
Meat Beef,-,-,-,Bondo,550.00/Kg,600.00/Kg,14000.00,Siaya,2024-10-03
Meat Beef,-,-,-,Aram,-,600.00/Kg,135.00,Siaya,2024-10-03
Meat Beef,-,-,-,Katito,-,650.00/Kg,6500.00,Kisumu,2024-10-03
Meat Beef,-,-,-,Cheptulu,550.00/Kg,600.00/Kg,240.00,Vihiga,2024-10-03
Meat Beef,-,-,-,Miruka,-,600.00/Kg,180.00,Nyamira,2024-10-02
Meat Beef,-,-,-,Makutano Embu,-,650.00/Kg,,Embu,2024-10-02
Meat Beef,-,-,-,Awendo,400.00/Kg,500.00/Kg,,Migori,2024-10-02
Meat Beef,-,-,-,Bondo,500.00/Kg,600.00/Kg,7000.00,Siaya,2024-10-01
Meat Beef,-,-,-,Cheptulu,550.00/Kg,600.00/Kg,400.00,Vihiga,2024-10-01
Meat Beef,-,-,-,Ngundune,500.00/Kg,600.00/Kg,600.00,Meru,2024-10-01
Meat Beef,-,-,-,Kirwara Market,-,600.00/Kg,,Muranga,2024-10-01
Meat Beef,-,-,-,Ngurubani Market,500.00/Kg,700.00/Kg,1800.00,Kirinyaga,2024-10-01
Meat Beef,-,-,-,Awendo,400.00/Kg,500.00/Kg,,Migori,2024-10-01
Meat Beef,-,-,-,Mwangulu,450.00/Kg,500.00/Kg,452.00,Kwale,2024-09-30
Meat Beef,-,-,-,Aram,-,600.00/Kg,182.00,Siaya,2024-09-30
Meat Beef,-,-,-,Sikhendu,-,0.84/Kg,650.91,Trans-Nzoia,2024-09-28
Meat Beef,-,-,-,Awendo,400.00/Kg,500.00/Kg,,Migori,2024-09-28
Meat Beef,-,-,-,Ilbissil Livestock Market,450.00/Kg,600.00/Kg,2500.00,Kajiado,2024-09-27
Meat Beef,-,-,-,Ngurubani Market,500.00/Kg,700.00/Kg,1800.00,Kirinyaga,2024-09-27
Meat Beef,-,-,-,Kirwara Market,-,600.00/Kg,,Muranga,2024-09-27
Meat Beef,-,-,-,Makutano Kirinyaga,500.00/Kg,700.00/Kg,420.00,Kirinyaga,2024-09-27
Meat Beef,-,-,-,Katito,-,600.00/Kg,6500.00,Kisumu,2024-09-26
Meat Beef,-,-,-,Ngundune,500.00/Kg,600.00/Kg,600.00,Meru,2024-09-26
Meat Beef,-,-,-,Makutano Kirinyaga,500.00/Kg,700.00/Kg,430.00,Kirinyaga,2024-09-25
Meat Beef,-,-,-,Awendo,400.00/Kg,500.00/Kg,,Migori,2024-09-25
Meat Beef,-,-,-,Kirwara Market,-,600.00/Kg,,Muranga,2024-09-24
Meat Beef,-,-,-,Ngurubani Market,500.00/Kg,700.00/Kg,1750.00,Kirinyaga,2024-09-24
Meat Beef,-,-,-,Aram,-,600.00/Kg,170.00,Siaya,2024-09-23
Meat Beef,-,-,-,Majengo Vihiga,45.00/Kg,500.00/Kg,2000.00,Vihiga,2024-09-22
Meat Beef,-,-,-,Sikhendu,-,0.88/Kg,565.00,Trans-Nzoia,2024-09-21
Meat Beef,-,-,-,Chwele,116.67/Kg,650.00/Kg,3000000.00,Bungoma,2024-09-20
Meat Beef,-,-,-,Mbale,450.00/Kg,500.00/Kg,3000.00,Vihiga,2024-09-20
Meat Beef,-,-,-,Ilbissil Livestock Market,350.00/Kg,550.00/Kg,1500.00,Kajiado,2024-09-20
Meat Beef,-,-,-,Kirwara Market,-,600.00/Kg,,Muranga,2024-09-20
Meat Beef,-,-,-,Cheptulu,550.00/Kg,600.00/Kg,340.00,Vihiga,2024-09-20
Meat Beef,-,-,-,Ngurubani Market,500.00/Kg,700.00/Kg,2100.00,Kirinyaga,2024-09-20
Meat Beef,-,-,-,Makutano Kirinyaga,500.00/Kg,700.00/Kg,417.00,Kirinyaga,2024-09-20
Meat Beef,-,-,-,Cheptulu,550.00/Kg,600.00/Kg,300.00,Vihiga,2024-09-19
Meat Beef,-,-,-,Aram,-,600.00/Kg,195.00,Siaya,2024-09-19
Meat Beef,-,-,-,Mukuyu Market,-,600.00/Kg,,Muranga,2024-09-18
Meat Beef,-,-,-,Makutano Kirinyaga,500.00/Kg,700.00/Kg,450.00,Kirinyaga,2024-09-18
Meat Beef,-,-,-,Ugunja,450.00/Kg,500.00/Kg,480.00,Siaya,2024-09-18
Meat Beef,-,-,-,Ngurubani Market,450.00/Kg,600.00/Kg,2000.00,Kirinyaga,2024-09-18
Meat Beef,-,-,-,Awendo,400.00/Kg,500.00/Kg,,Migori,2024-09-17
Meat Beef,-,-,-,Awendo,400.00/Kg,500.00/Kg,,Migori,2024-09-17
Meat Beef,-,-,-,Mbale,450.00/Kg,500.00/Kg,3200.00,Vihiga,2024-09-17
Meat Beef,-,-,-,Cheptulu,-,600.00/Kg,450.00,Vihiga,2024-09-17
Meat Beef,-,-,-,Ngundune,500.00/Kg,600.00/Kg,600.00,Meru,2024-09-17
Meat Beef,-,-,-,Kagio,450.00/Kg,600.00/Kg,,Kirinyaga,2024-09-17
Meat Beef,-,-,-,Aram,-,600.00/Kg,150.00,Siaya,2024-09-16
Meat Beef,-,-,-,Muhoroni,-,500.00/Kg,1500.00,Kisumu,2024-09-15
Meat Beef,-,-,-,Ngurubani Market,500.00/Kg,700.00/Kg,2100.00,Kirinyaga,2024-09-15
Meat Beef,-,-,-,Sikhendu,-,1.08/Kg,462.00,Trans-Nzoia,2024-09-14
Meat Beef,-,-,-,Awendo,400.00/Kg,500.00/Kg,,Migori,2024-09-14
Meat Beef,-,-,-,Awendo,400.00/Kg,500.00/Kg,,Migori,2024-09-14
Meat Beef,-,-,-,Cheptulu,550.00/Kg,600.00/Kg,340.00,Vihiga,2024-09-13
Meat Beef,-,-,-,Bondo,500.00/Kg,600.00/Kg,7000.00,Siaya,2024-09-13
Meat Beef,-,-,-,Kirwara Market,-,600.00/Kg,,Muranga,2024-09-13
Meat Beef,-,-,-,Makutano Kirinyaga,500.00/Kg,700.00/Kg,410.00,Kirinyaga,2024-09-13
Meat Beef,-,-,-,Cheptulu,550.00/Kg,600.00/Kg,260.00,Vihiga,2024-09-12
Meat Beef,-,-,-,Makutano Kirinyaga,500.00/Kg,700.00/Kg,470.00,Kirinyaga,2024-09-11
Meat Beef,-,-,-,Awendo,400.00/Kg,500.00/Kg,,Migori,2024-09-11
Meat Beef,-,-,-,Cheptulu,550.00/Kg,600.00/Kg,320.00,Vihiga,2024-09-10
Meat Beef,-,-,-,Ngurubani Market,500.00/Kg,700.00/Kg,1700.00,Kirinyaga,2024-09-10
Meat Beef,-,-,-,Kirwara Market,-,600.00/Kg,,Muranga,2024-09-10
Meat Beef,-,-,-,Cheptulu,560.00/Kg,600.00/Kg,180.00,Vihiga,2024-09-09
Meat Beef,-,-,-,Cheptulu,550.00/Kg,600.00/Kg,240.00,Vihiga,2024-09-08
Meat Beef,-,-,-,Sikhendu,-,0.64/Kg,783.80,Trans-Nzoia,2024-09-07
Meat Beef,-,-,-,Makutano Kirinyaga,500.00/Kg,700.00/Kg,420.00,Kirinyaga,2024-09-07
Meat Beef,-,-,-,Keroka,450.00/Kg,600.00/Kg,20000.00,Nyamira,2024-09-07
Meat Beef,-,-,-,Akala,-,600.00/Kg,500.00,Siaya,2024-09-07
Meat Beef,-,-,-,Makutano Embu,-,700.00/Kg,,Embu,2024-09-07
