Commodity,Classification,Grade,Sex,Market,Wholesale,Retail,Supply Volume,County,Date
Cabbages,-,-,-,Nairobi Wakulima,-,30.77/Kg,,Nairobi,2025-02-12
Cabbages,-,-,-,Ndanai Market,0.33/Kg,1.50/Kg,8000.00,Bomet,2025-02-07
Cabbages,-,-,-,Mbale,20.00/Kg,25.00/Kg,4000.00,Vihiga,2025-02-06
Cabbages,-,-,-,Mbale,20.00/Kg,19.23/Kg,4000.00,Vihiga,2025-02-04
Cabbages,-,-,-,Ndanai Market,10.00/Kg,20.00/Kg,3000.00,Bomet,2025-01-31
Cabbages,-,-,-,Mbale,20.00/Kg,30.86/Kg,4500.00,Vihiga,2025-01-30
Cabbages,-,-,-,Mbale,20.00/Kg,40.00/Kg,4000.00,Vihiga,2025-01-28
Cabbages,-,-,-,Nairobi Wakulima,-,27.78/Kg,,Nairobi,2025-01-24
Cabbages,-,-,-,Mbale,20.00/Kg,15.63/Kg,4000.00,Vihiga,2025-01-22
Cabbages,-,-,-,Nairobi Wakulima,-,47.62/Kg,,Nairobi,2024-12-06
Cabbages,-,-,-,Nairobi Wakulima,-,38.89/Kg,,Nairobi,2024-11-18
Cabbages,-,-,-,Nairobi Wakulima,-,34.78/Kg,,Nairobi,2024-11-06
Cabbages,-,-,-,Kangemi Market,-,16.67/Kg,,Nairobi,2024-11-05
Cabbages,-,-,-,Nairobi Wakulima,-,43.48/Kg,,Nairobi,2024-10-16
Cabbages,-,-,-,Kimilili town,30.00/Kg,40.00/Kg,4000.00,Bungoma,2024-10-10
Cabbages,-,-,-,Kipkaren,45.00/Kg,65.00/Kg,1500.00,Kakamega,2024-10-10
Cabbages,-,-,-,Kawangware,-,30.00/Kg,,Nairobi,2024-10-10
Cabbages,-,-,-,Kalundu,28.93/Kg,41.32/Kg,,Kitui,2024-10-10
Cabbages,-,-,-,Kalundu,25.40/Kg,47.62/Kg,,Kitui,2024-10-10
Cabbages,-,-,-,Kalundu,18.71/Kg,37.42/Kg,,Kitui,2024-10-10
Cabbages,-,-,-,Gikomba,-,35.00/Kg,6000.00,Nairobi,2024-10-10
