Commodity,Classification,Grade,Sex,Market,Wholesale,Retail,Supply Volume,County,Date
Banana (Cooking),-,-,-,Nyeri open air,18.18/Kg,-,,Nyeri,2011-09-01
Banana (Cooking),-,-,-,Nairobi Wakulima,22.73/Kg,-,,Nairobi,2011-08-30
Banana (Cooking),-,-,-,Kongowea,31.82/Kg,-,,Mombasa,2011-08-30
Banana (Cooking),-,-,-,Kibuye,13.64/Kg,-,,Kisumu,2011-08-30
Banana (Cooking),-,-,-,Nakuru Wakulima,22.73/Kg,-,,Nakuru,2011-08-30
Banana (Cooking),-,-,-,Eldoret Main,35.00/Kg,-,,Uasin-Gishu,2011-08-30
Banana (Cooking),-,-,-,Malindi Old Market,20.45/Kg,-,,Kilifi,2011-08-30
Banana (Cooking),-,-,-,Daraja Mbili,15.91/Kg,-,,Kisii,2011-08-30
Banana (Cooking),-,-,-,Nyahururu Municipal Market,27.27/Kg,-,,Laikipia,2011-08-30
Banana (Cooking),-,-,-,Nairobi Wakulima,23.64/Kg,-,,Nairobi,2011-08-29
Banana (Cooking),-,-,-,Kongowea,31.82/Kg,-,,Mombasa,2011-08-29
Banana (Cooking),-,-,-,Kibuye,13.64/Kg,-,,Kisumu,2011-08-29
Banana (Cooking),-,-,-,Nakuru Wakulima,22.73/Kg,-,,Nakuru,2011-08-29
Banana (Cooking),-,-,-,Eldoret Main,35.00/Kg,-,,Uasin-Gishu,2011-08-29
Banana (Cooking),-,-,-,Malindi Old Market,20.45/Kg,-,,Kilifi,2011-08-29
Banana (Cooking),-,-,-,Gakoromone,27.27/Kg,-,,Meru,2011-08-29
Banana (Cooking),-,-,-,Kitale Municipality Market,25.00/Kg,-,,Trans-Nzoia,2011-08-29
Banana (Cooking),-,-,-,Chwele,15.91/Kg,-,,Bungoma,2011-08-29
Banana (Cooking),-,-,-,Nairobi Wakulima,25.45/Kg,-,,Nairobi,2011-08-26
Banana (Cooking),-,-,-,Kongowea,29.55/Kg,-,,Mombasa,2011-08-26
Banana (Cooking),-,-,-,Kibuye,13.64/Kg,-,,Kisumu,2011-08-26
Banana (Cooking),-,-,-,Nakuru Wakulima,22.73/Kg,-,,Nakuru,2011-08-26
Banana (Cooking),-,-,-,Eldoret Main,35.00/Kg,-,,Uasin-Gishu,2011-08-26
Banana (Cooking),-,-,-,Malindi Old Market,20.45/Kg,-,,Kilifi,2011-08-26
Banana (Cooking),-,-,-,Chwele,15.91/Kg,-,,Bungoma,2011-08-26
Banana (Cooking),-,-,-,Nairobi Wakulima,25.91/Kg,-,,Nairobi,2011-08-25
Banana (Cooking),-,-,-,Kongowea,29.55/Kg,-,,Mombasa,2011-08-25
Banana (Cooking),-,-,-,Nakuru Wakulima,22.73/Kg,-,,Nakuru,2011-08-25
Banana (Cooking),-,-,-,Eldoret Main,35.00/Kg,-,,Uasin-Gishu,2011-08-25
Banana (Cooking),-,-,-,Malindi Old Market,20.45/Kg,-,,Kilifi,2011-08-25
Banana (Cooking),-,-,-,Daraja Mbili,15.91/Kg,-,,Kisii,2011-08-25
Banana (Cooking),-,-,-,Nairobi Wakulima,25.00/Kg,-,,Nairobi,2011-08-24
Banana (Cooking),-,-,-,Kongowea,28.41/Kg,-,,Mombasa,2011-08-24
Banana (Cooking),-,-,-,Kibuye,13.64/Kg,-,,Kisumu,2011-08-24
Banana (Cooking),-,-,-,Nakuru Wakulima,22.73/Kg,-,,Nakuru,2011-08-24
Banana (Cooking),-,-,-,Eldoret Main,35.00/Kg,-,,Uasin-Gishu,2011-08-24
Banana (Cooking),-,-,-,Malindi Old Market,20.45/Kg,-,,Kilifi,2011-08-24
Banana (Cooking),-,-,-,Kitale Municipality Market,22.73/Kg,-,,Trans-Nzoia,2011-08-24
Banana (Cooking),-,-,-,Loitoktok Market,25.00/Kg,-,,Kajiado,2011-08-24
Banana (Cooking),-,-,-,Taveta,11.36/Kg,-,,Taita-Taveta,2011-08-24
Banana (Cooking),-,-,-,Nairobi Wakulima,25.00/Kg,-,,Nairobi,2011-08-23
Banana (Cooking),-,-,-,Kongowea,29.55/Kg,-,,Mombasa,2011-08-23
Banana (Cooking),-,-,-,Kibuye,13.64/Kg,-,,Kisumu,2011-08-23
Banana (Cooking),-,-,-,Nakuru Wakulima,22.73/Kg,-,,Nakuru,2011-08-23
Banana (Cooking),-,-,-,Eldoret Main,35.00/Kg,-,,Uasin-Gishu,2011-08-23
Banana (Cooking),-,-,-,Malindi Old Market,20.45/Kg,-,,Kilifi,2011-08-23
Banana (Cooking),-,-,-,Malindi Old Market,20.45/Kg,-,,Kilifi,2011-08-23
Banana (Cooking),-,-,-,Daraja Mbili,15.91/Kg,-,,Kisii,2011-08-23
Banana (Cooking),-,-,-,Nyahururu Municipal Market,22.73/Kg,-,,Laikipia,2011-08-23
Banana (Cooking),-,-,-,Nairobi Wakulima,25.91/Kg,-,,Nairobi,2011-08-22
Banana (Cooking),-,-,-,Kongowea,25.00/Kg,-,,Mombasa,2011-08-22
Banana (Cooking),-,-,-,Kibuye,13.64/Kg,-,,Kisumu,2011-08-22
Banana (Cooking),-,-,-,Nakuru Wakulima,22.73/Kg,-,,Nakuru,2011-08-22
Banana (Cooking),-,-,-,Eldoret Main,35.00/Kg,-,,Uasin-Gishu,2011-08-22
Banana (Cooking),-,-,-,Malindi Old Market,20.45/Kg,-,,Kilifi,2011-08-22
Banana (Cooking),-,-,-,Chwele,13.64/Kg,-,,Bungoma,2011-08-22
Banana (Cooking),-,-,-,Gakoromone,22.73/Kg,-,,Meru,2011-08-22
Banana (Cooking),-,-,-,Nairobi Wakulima,25.00/Kg,-,,Nairobi,2011-08-19
Banana (Cooking),-,-,-,Kongowea,29.55/Kg,-,,Mombasa,2011-08-19
Banana (Cooking),-,-,-,Kibuye,13.64/Kg,-,,Kisumu,2011-08-19
Banana (Cooking),-,-,-,Eldoret Main,22.73/Kg,-,,Uasin-Gishu,2011-08-19
Banana (Cooking),-,-,-,Nyahururu Municipal Market,22.73/Kg,-,,Laikipia,2011-08-19
Banana (Cooking),-,-,-,Malindi Old Market,20.45/Kg,-,,Kilifi,2011-08-19
Banana (Cooking),-,-,-,Chwele,15.91/Kg,-,,Bungoma,2011-08-19
Banana (Cooking),-,-,-,Kitale Municipality Market,22.73/Kg,-,,Trans-Nzoia,2011-08-19
Banana (Cooking),-,-,-,Nairobi Wakulima,25.00/Kg,-,,Nairobi,2011-08-18
Banana (Cooking),-,-,-,Kongowea,25.00/Kg,-,,Mombasa,2011-08-18
Banana (Cooking),-,-,-,Kibuye,13.64/Kg,-,,Kisumu,2011-08-18
Banana (Cooking),-,-,-,Kibuye,13.64/Kg,-,,Kisumu,2011-08-18
Banana (Cooking),-,-,-,Eldoret Main,22.73/Kg,-,,Uasin-Gishu,2011-08-18
Banana (Cooking),-,-,-,Malindi Old Market,20.45/Kg,-,,Kilifi,2011-08-18
Banana (Cooking),-,-,-,Busia Market,31.82/Kg,-,,Busia,2011-08-18
Banana (Cooking),-,-,-,Nairobi Wakulima,25.91/Kg,-,,Nairobi,2011-08-17
Banana (Cooking),-,-,-,Kongowea,25.00/Kg,-,,Mombasa,2011-08-17
Banana (Cooking),-,-,-,Kibuye,13.64/Kg,-,,Kisumu,2011-08-17
Banana (Cooking),-,-,-,Nakuru Wakulima,20.45/Kg,-,,Nakuru,2011-08-17
Banana (Cooking),-,-,-,Eldoret Main,35.00/Kg,-,,Uasin-Gishu,2011-08-17
Banana (Cooking),-,-,-,Malindi Old Market,20.45/Kg,-,,Kilifi,2011-08-17
Banana (Cooking),-,-,-,Kitale Municipality Market,22.73/Kg,-,,Trans-Nzoia,2011-08-17
Banana (Cooking),-,-,-,Nairobi Wakulima,24.09/Kg,-,,Nairobi,2011-08-16
Banana (Cooking),-,-,-,Kongowea,25.00/Kg,-,,Mombasa,2011-08-16
Banana (Cooking),-,-,-,Kibuye,13.64/Kg,-,,Kisumu,2011-08-16
Banana (Cooking),-,-,-,Nakuru Wakulima,20.45/Kg,-,,Nakuru,2011-08-16
Banana (Cooking),-,-,-,Eldoret Main,35.00/Kg,-,,Uasin-Gishu,2011-08-16
Banana (Cooking),-,-,-,Mumias,20.45/Kg,-,,Kakamega,2011-08-16
Banana (Cooking),-,-,-,Nyahururu Municipal Market,22.73/Kg,-,,Laikipia,2011-08-16
Banana (Cooking),-,-,-,Gakoromone,22.73/Kg,-,,Meru,2011-08-16
