Commodity,Classification,Grade,Sex,Market,Wholesale,Retail,Supply Volume,County,Date
Cowpea leaves (Kunde),-,-,-,Mbale,-,47.62/Kg,2000.00,Vihiga,2025-02-11
Cowpea leaves (Kunde),-,-,-,Mbale,-,98.04/Kg,1200.00,Vihiga,2025-01-30
Cowpea leaves (Kunde),-,-,-,Mbale,-,99.50/Kg,1800.00,Vihiga,2025-01-28
Cowpea leaves (Kunde),-,-,-,Mbale,-,94.79/Kg,2000.00,Vihiga,2025-01-22
Cowpea leaves (Kunde),-,-,-,Nairobi Wakulima,-,40.00/Kg,,Nairobi,2024-11-18
Cowpea leaves (Kunde),-,-,-,Nairobi Wakulima,-,50.00/Kg,,Nairobi,2024-11-06
Cowpea leaves (Kunde),-,-,-,Nairobi Wakulima,-,60.00/Kg,,Nairobi,2024-10-16
Cowpea leaves (Kunde),-,-,-,Mwatate,75.00/Kg,80.00/Kg,,Taita-Taveta,2024-10-10
Cowpea leaves (Kunde),-,-,-,Sabatia,22.22/Kg,33.33/Kg,350.00,Kakamega,2024-10-09
Cowpea leaves (Kunde),-,-,-,Embu Town,25.00/Kg,40.00/Kg,1000.00,Embu,2024-10-09
Cowpea leaves (Kunde),-,-,-,Bondo,50.00/Kg,80.00/Kg,2000.00,Siaya,2024-10-08
Cowpea leaves (Kunde),-,-,-,Cheptulu,40.00/Kg,60.00/Kg,700.00,Vihiga,2024-10-08
Cowpea leaves (Kunde),-,-,-,Bondeni,21.43/Kg,28.57/Kg,300.00,Trans-Nzoia,2024-10-08
Cowpea leaves (Kunde),-,-,-,Chuka,50.00/Kg,60.00/Kg,150.00,Tharaka-Nithi,2024-10-08
Cowpea leaves (Kunde),-,-,-,Ngurubani Market,40.00/Kg,60.00/Kg,250.00,Kirinyaga,2024-10-08
Cowpea leaves (Kunde),-,-,-,Butere Livestock Market,40.00/Kg,50.00/Kg,200.00,Kakamega,2024-10-07
Cowpea leaves (Kunde),-,-,-,Aram,42.00/Kg,45.66/Kg,4000.00,Siaya,2024-10-07
Cowpea leaves (Kunde),-,-,-,Muhoroni,-,60.00/Kg,300.00,Kisumu,2024-10-06
Cowpea leaves (Kunde),-,-,-,Awendo,100.00/Kg,150.00/Kg,,Migori,2024-10-05
Cowpea leaves (Kunde),-,-,-,Awendo,100.00/Kg,130.00/Kg,,Migori,2024-10-05
Cowpea leaves (Kunde),-,-,-,Chwele,25.00/Kg,50.00/Kg,7000.00,Bungoma,2024-10-04
Cowpea leaves (Kunde),-,-,-,Mumias,-,70.00/Kg,,Kakamega,2024-10-04
Cowpea leaves (Kunde),-,-,-,Chuka,50.00/Kg,40.00/Kg,150.00,Tharaka-Nithi,2024-10-04
Cowpea leaves (Kunde),-,-,-,Gakoromone,60.00/Kg,70.00/Kg,200.00,Meru,2024-10-04
Cowpea leaves (Kunde),-,-,-,Nairobi Wakulima,30.00/Kg,50.00/Kg,,Nairobi,2024-10-04
Cowpea leaves (Kunde),-,-,-,Voi Wholesale,50.00/Kg,-,350.00,Taita-Taveta,2024-10-04
Cowpea leaves (Kunde),-,-,-,Ngurubani Market,40.00/Kg,60.00/Kg,170.00,Kirinyaga,2024-10-04
Cowpea leaves (Kunde),-,-,-,Mabera,-,100.00/Kg,170.00,Migori,2024-10-04
Cowpea leaves (Kunde),-,-,-,Bondo,50.00/Kg,80.00/Kg,2000.00,Siaya,2024-10-03
Cowpea leaves (Kunde),-,-,-,Aram,46.00/Kg,50.76/Kg,6500.00,Siaya,2024-10-03
