Commodity,Classification,Grade,Sex,Market,Wholesale,Retail,Supply Volume,County,Date
Cowpeas,-,-,-,Mbale,-,180.00/Kg,800.00,Vihiga,2025-02-11
Cowpeas,-,-,-,Mbale,-,167.46/Kg,2000.00,Vihiga,2025-02-04
Cowpeas,-,-,-,Mbale,-,175.00/Kg,1500.00,Vihiga,2025-01-30
Cowpeas,-,-,-,Mbale,-,175.00/Kg,1000.00,Vihiga,2025-01-28
Cowpeas,-,-,-,Mbale,-,175.00/Kg,1000.00,Vihiga,2025-01-22
Cowpeas,-,-,-,Kimilili town,300.00/Kg,350.00/Kg,600.00,Bungoma,2024-10-10
Cowpeas,-,-,-,Kerugoya,100.00/Kg,125.00/Kg,2500.00,Kirinyaga,2024-10-10
Cowpeas,-,-,-,Kalundu,90.00/Kg,100.00/Kg,,Kitui,2024-10-10
Cowpeas,-,-,-,Gikomba,-,190.00/Kg,1500.00,Nairobi,2024-10-10
Cowpeas,-,-,-,Sabatia,146.67/Kg,175.00/Kg,270.00,Kakamega,2024-10-09
Cowpeas,-,-,-,Nyamakima,77.00/Kg,9900.00/Kg,,Nairobi,2024-10-09
Cowpeas,-,-,-,Kangeta,70.00/Kg,80.00/Kg,400.00,Meru,2024-10-09
Cowpeas,-,-,-,Kawangware,-,125.00/Kg,,Nairobi,2024-10-09
Cowpeas,-,-,-,Embu Town,66.67/Kg,100.00/Kg,6000.00,Embu,2024-10-09
Cowpeas,-,-,-,Bondeni,125.00/Kg,150.00/Kg,300.00,Trans-Nzoia,2024-10-08
Cowpeas,-,-,-,Maua,72.22/Kg,80.00/Kg,5400.00,Meru,2024-10-08
Cowpeas,-,-,-,Kawangware,-,125.00/Kg,,Nairobi,2024-10-08
Cowpeas,-,-,-,Kerugoya,100.00/Kg,120.00/Kg,2200.00,Kirinyaga,2024-10-08
Cowpeas,-,-,-,Nkubu,66.67/Kg,80.00/Kg,810.00,Meru,2024-10-08
Cowpeas,-,-,-,Nyamakima,77.00/Kg,9900.00/Kg,,Nairobi,2024-10-08
Cowpeas,-,-,-,Chuka,88.89/Kg,200.00/Kg,450.00,Tharaka-Nithi,2024-10-08
Cowpeas,-,-,-,Ngurubani Market,75.56/Kg,120.00/Kg,810.00,Kirinyaga,2024-10-08
Cowpeas,-,-,-,Butere Livestock Market,146.67/Kg,175.00/Kg,270.00,Kakamega,2024-10-07
Cowpeas,-,-,-,Aram,140.00/Kg,160.00/Kg,150.00,Siaya,2024-10-07
Cowpeas,-,-,-,Kisasi,50.00/Kg,60.00/Kg,,Kitui,2024-10-07
Cowpeas,-,-,-,Gikomba,-,200.00/Kg,,Nairobi,2024-10-07
Cowpeas,-,-,-,Kawangware,-,125.00/Kg,,Nairobi,2024-10-07
Cowpeas,-,-,-,Mabera,-,130.43/Kg,5000.00,Migori,2024-10-07
Cowpeas,-,-,-,Khayega,200.00/Kg,220.00/Kg,180.00,Kakamega,2024-10-06
Cowpeas,-,-,-,Muhoroni,250.00/Kg,350.00/Kg,500.00,Kisumu,2024-10-06
Cowpeas,-,-,-,Chuka,88.89/Kg,200.00/Kg,450.00,Tharaka-Nithi,2024-10-04
Cowpeas,-,-,-,Mumias,160.00/Kg,200.00/Kg,900.00,Kakamega,2024-10-04
Cowpeas,-,-,-,Gikomba,100.00/Kg,150.00/Kg,,Nairobi,2024-10-04
Cowpeas,-,-,-,Nyamakima,88.89/Kg,130.00/Kg,,Nairobi,2024-10-04
Cowpeas,-,-,-,Kawangware,-,125.00/Kg,,Nairobi,2024-10-04
Cowpeas,-,-,-,Ngurubani Market,75.56/Kg,110.00/Kg,950.00,Kirinyaga,2024-10-04
Cowpeas,-,-,-,Kerugoya,100.00/Kg,125.00/Kg,2000.00,Kirinyaga,2024-10-03
Cowpeas,-,-,-,Aram,140.00/Kg,160.00/Kg,150.00,Siaya,2024-10-03
Cowpeas,-,-,-,Ahero,140.00/Kg,150.00/Kg,5000.00,Kisumu,2024-10-03
Cowpeas,-,-,-,Bondo,82.22/Kg,100.00/Kg,2000.00,Siaya,2024-10-03
Cowpeas,-,-,-,Gikomba,100.00/Kg,150.00/Kg,,Nairobi,2024-10-03
Cowpeas,-,-,-,Nyamakima,88.89/Kg,130.00/Kg,,Nairobi,2024-10-03
Cowpeas,-,-,-,Kutus,88.50/Kg,110.62/Kg,1350.00,Kirinyaga,2024-10-03
Cowpeas,-,-,-,Kimilili town,100.00/Kg,150.00/Kg,1000.00,Bungoma,2024-10-03
Cowpeas,-,-,-,Kawangware,-,125.00/Kg,,Nairobi,2024-10-03
Cowpeas,-,-,-,Makutano Embu,-,100.00/Kg,,Embu,2024-10-03
Cowpeas,-,-,-,Kawangware,-,125.00/Kg,,Nairobi,2024-10-02
Cowpeas,-,-,-,Kangeta,70.00/Kg,80.00/Kg,400.00,Meru,2024-10-02
Cowpeas,-,-,-,Nyamakima,88.89/Kg,130.00/Kg,,Nairobi,2024-10-02
