Commodity,Classification,Grade,Sex,Market,Wholesale,Retail,Supply Volume,County,Date
Dry Onions,-,-,-,Nairobi Wakulima,-,70.00/Kg,,Nairobi,2025-02-12
Dry Onions,-,-,-,Ndanai Market,70.00/Kg,100.00/Kg,1600.00,Bomet,2025-02-07
Dry Onions,-,-,-,Mbale,80.00/Kg,100.00/Kg,2500.00,Vihiga,2025-02-06
Dry Onions,-,-,-,Mbale,80.00/Kg,100.00/Kg,2500.00,Vihiga,2025-02-04
Dry Onions,-,-,-,Mbale,70.00/Kg,100.00/Kg,2000.00,Vihiga,2025-01-30
Dry Onions,-,-,-,Mbale,70.00/Kg,100.00/Kg,3000.00,Vihiga,2025-01-28
Dry Onions,-,-,-,Nairobi Wakulima,-,70.00/Kg,,Nairobi,2025-01-24
Dry Onions,-,-,-,Mbale,70.00/Kg,100.00/Kg,2000.00,Vihiga,2025-01-22
Dry Onions,-,-,-,Nairobi Wakulima,-,80.00/Kg,,Nairobi,2024-12-06
Dry Onions,-,-,-,Nairobi Wakulima,-,70.00/Kg,,Nairobi,2024-11-18
Dry Onions,-,-,-,Kangemi Market,-,100.00/Kg,,Nairobi,2024-11-11
Dry Onions,-,-,-,Kangemi Market,80.00/Kg,130.00/Kg,,Nairobi,2024-11-08
Dry Onions,-,-,-,Nairobi Wakulima,-,80.00/Kg,,Nairobi,2024-11-06
Dry Onions,-,-,-,Kangemi Market,80.00/Kg,-,,Nairobi,2024-11-05
Dry Onions,-,-,-,Kangemi Market,-,130.00/Kg,,Nairobi,2024-11-05
Dry Onions,-,-,-,Nairobi Wakulima,-,100.00/Kg,,Nairobi,2024-10-16
Dry Onions,-,-,-,Kimilili town,60.00/Kg,70.00/Kg,1500.00,Bungoma,2024-10-10
Dry Onions,-,-,-,Kipkaren,120.00/Kg,140.00/Kg,900.00,Kakamega,2024-10-10
Dry Onions,-,-,-,Kalundu,60.00/Kg,80.00/Kg,,Kitui,2024-10-10
Dry Onions,-,-,-,Gikomba,-,110.00/Kg,5500.00,Nairobi,2024-10-10
Dry Onions,-,-,-,Mwatate,61.54/Kg,70.00/Kg,5500.00,Taita-Taveta,2024-10-10
Dry Onions,-,-,-,Mwingi Town,70.00/Kg,90.00/Kg,4000.00,Kitui,2024-10-10
Dry Onions,-,-,-,Rongo,124.00/Kg,53.65/Kg,5000.00,Migori,2024-10-09
Dry Onions,-,-,-,Sabatia,80.00/Kg,125.00/Kg,1200.00,Kakamega,2024-10-09
Dry Onions,-,-,-,Mulot,50.00/Kg,80.00/Kg,500.00,Bomet,2024-10-09
Dry Onions,-,-,-,Kakamega Town,50.00/Kg,100.00/Kg,5000.00,Kakamega,2024-10-09
Dry Onions,-,-,-,Miruka,80.00/Kg,100.00/Kg,3500.00,Nyamira,2024-10-09
Dry Onions,-,-,-,Miruka,80.00/Kg,100.00/Kg,3500.00,Nyamira,2024-10-09
Dry Onions,-,-,-,Miruka,80.00/Kg,100.00/Kg,3500.00,Nyamira,2024-10-09
Dry Onions,-,-,-,Kangeta,70.00/Kg,80.00/Kg,1150.00,Meru,2024-10-09
Dry Onions,-,-,-,Diani Market,65.00/Kg,100.00/Kg,1500.00,Kwale,2024-10-09
Dry Onions,-,-,-,Makutano Embu,70.00/Kg,100.00/Kg,,Embu,2024-10-09
Dry Onions,-,-,-,Embu Town,75.00/Kg,100.00/Kg,10000.00,Embu,2024-10-09
Dry Onions,-,-,-,Kamukuywa,80.00/Kg,90.00/Kg,2000.00,Bungoma,2024-10-09
Dry Onions,-,-,-,Kamukuywa,80.00/Kg,90.00/Kg,6000.00,Bungoma,2024-10-09
Dry Onions,-,-,-,Kabiyet Market,90.00/Kg,100.00/Kg,500.00,Nandi,2024-10-08
Dry Onions,-,-,-,Bondo,100.00/Kg,120.00/Kg,8000.00,Siaya,2024-10-08
Dry Onions,-,-,-,Cheptulu,100.00/Kg,150.00/Kg,1500.00,Vihiga,2024-10-08
Dry Onions,-,-,-,Bondeni,70.00/Kg,90.00/Kg,2000.00,Trans-Nzoia,2024-10-08
Dry Onions,-,-,-,Isebania Market,-,100.00/Kg,600.00,Migori,2024-10-08
Dry Onions,-,-,-,Kerugoya,40.00/Kg,80.00/Kg,2500.00,Kirinyaga,2024-10-08
Dry Onions,-,-,-,Maua,70.00/Kg,90.00/Kg,9000.00,Meru,2024-10-08
Dry Onions,-,-,-,Kawangware,66.67/Kg,70.00/Kg,,Nairobi,2024-10-08
Dry Onions,-,-,-,Nkubu,50.00/Kg,70.00/Kg,1740.00,Meru,2024-10-08
Dry Onions,-,-,-,Chuka,70.00/Kg,100.00/Kg,5000.00,Tharaka-Nithi,2024-10-08
Dry Onions,-,-,-,Kirwara Market,-,100.00/Kg,300.00,Muranga,2024-10-08
Dry Onions,-,-,-,Kagio,50.00/Kg,80.00/Kg,2300.00,Kirinyaga,2024-10-08
Dry Onions,-,-,-,Gongoni,100.00/Kg,120.00/Kg,24000.00,Kilifi,2024-10-08
Dry Onions,-,-,-,Ngurubani Market,70.00/Kg,100.00/Kg,8400.00,Kirinyaga,2024-10-08
Dry Onions,-,-,-,Kapkwen,90.00/Kg,150.00/Kg,4000.00,Bomet,2024-10-08
Dry Onions,-,-,-,Mogogosiek Market,80.00/Kg,120.00/Kg,800.00,Bomet,2024-10-08
Dry Onions,-,-,-,Rongo,100.00/Kg,51.92/Kg,2500.00,Migori,2024-10-07
Dry Onions,-,-,-,Butere Livestock Market,60.00/Kg,120.00/Kg,500.00,Kakamega,2024-10-07
Dry Onions,-,-,-,Molo,-,90.00/Kg,11400.00,Nakuru,2024-10-07
Dry Onions,-,-,-,Mwangulu,80.00/Kg,100.00/Kg,1000.00,Kwale,2024-10-07
Dry Onions,-,-,-,Charo wa Mae,55.00/Kg,80.00/Kg,1700.00,Kilifi,2024-10-07
Dry Onions,-,-,-,Aram,70.00/Kg,85.32/Kg,4500.00,Siaya,2024-10-07
Dry Onions,-,-,-,Aram,100.00/Kg,115.21/Kg,3500.00,Siaya,2024-10-07
Dry Onions,-,-,-,Kisasi,50.00/Kg,80.00/Kg,,Kitui,2024-10-07
Dry Onions,-,-,-,Gongoni,100.00/Kg,120.00/Kg,48000.00,Kilifi,2024-10-07
Dry Onions,-,-,-,Kawangware,64.16/Kg,70.00/Kg,,Nairobi,2024-10-07
Dry Onions,-,-,-,Kibiok,80.00/Kg,100.00/Kg,6500.00,Nandi,2024-10-06
Dry Onions,-,-,-,Khayega,80.00/Kg,100.00/Kg,3000.00,Kakamega,2024-10-06
Dry Onions,-,-,-,Muhoroni,100.00/Kg,150.00/Kg,2000.00,Kisumu,2024-10-06
Dry Onions,-,-,-,Isebania Market,-,90.91/Kg,650.00,Migori,2024-10-05
Dry Onions,-,-,-,Kapsabet Market,66.67/Kg,100.00/Kg,10000.00,Nandi,2024-10-05
Dry Onions,-,-,-,Taveta Retail Market,50.00/Kg,100.00/Kg,500.00,Taita-Taveta,2024-10-05
Dry Onions,-,-,-,Samburu,60.00/Kg,80.00/Kg,3000.00,Kwale,2024-10-05
Dry Onions,-,-,-,Lungalunga,90.00/Kg,120.00/Kg,900.00,Kwale,2024-10-05
Dry Onions,-,-,-,Chwele,61.11/Kg,100.00/Kg,1000000.00,Bungoma,2024-10-04
Dry Onions,-,-,-,Rongo,100.00/Kg,125.94/Kg,7500.00,Migori,2024-10-04
Dry Onions,-,-,-,Bungoma town,100.00/Kg,120.00/Kg,6500.00,Bungoma,2024-10-04
Dry Onions,-,-,-,Kirwara Market,-,90.91/Kg,350.00,Muranga,2024-10-04
Dry Onions,-,-,-,Mumias,86.67/Kg,110.00/Kg,,Kakamega,2024-10-04
Dry Onions,-,-,-,Molo,-,90.00/Kg,1400.00,Nakuru,2024-10-04
Dry Onions,-,-,-,Ndanai Market,70.00/Kg,100.00/Kg,1200.00,Bomet,2024-10-04
Dry Onions,-,-,-,Gakoromone,50.00/Kg,60.00/Kg,3000.00,Meru,2024-10-04
Dry Onions,-,-,-,Tawa,80.00/Kg,100.00/Kg,5000.00,Makueni,2024-10-04
Dry Onions,-,-,-,Chuka,34.67/Kg,100.00/Kg,5000.00,Tharaka-Nithi,2024-10-04
Dry Onions,-,-,-,Nairobi Wakulima,50.00/Kg,80.00/Kg,,Nairobi,2024-10-04
Dry Onions,-,-,-,Gongoni,100.00/Kg,120.00/Kg,4800.00,Kilifi,2024-10-04
Dry Onions,-,-,-,Kawangware,64.16/Kg,-,,Nairobi,2024-10-04
Dry Onions,-,-,-,Wundanyi,-,60.00/Kg,2000.00,Taita-Taveta,2024-10-04
Dry Onions,-,-,-,Ngurubani Market,70.00/Kg,100.00/Kg,8500.00,Kirinyaga,2024-10-04
Dry Onions,-,-,-,Mabera,-,30.00/Kg,12000.00,Migori,2024-10-04
Dry Onions,-,-,-,Isebania Market,-,100.00/Kg,500.00,Migori,2024-10-03
Dry Onions,-,-,-,Kerugoya,40.00/Kg,80.00/Kg,2500.00,Kirinyaga,2024-10-03
Dry Onions,-,-,-,Bondo,90.00/Kg,120.00/Kg,7000.00,Siaya,2024-10-03
Dry Onions,-,-,-,Ahero,70.00/Kg,80.00/Kg,2400.00,Kisumu,2024-10-03
Dry Onions,-,-,-,Katito,66.67/Kg,100.00/Kg,2500.00,Kisumu,2024-10-03
Dry Onions,-,-,-,Aram,100.00/Kg,114.68/Kg,2000.00,Siaya,2024-10-03
Dry Onions,-,-,-,Aram,70.00/Kg,85.18/Kg,4500.00,Siaya,2024-10-03
Dry Onions,-,-,-,Kinango,83.33/Kg,130.00/Kg,4000.00,Kwale,2024-10-03
Dry Onions,-,-,-,Gikomba,90.00/Kg,100.00/Kg,,Nairobi,2024-10-03
Dry Onions,-,-,-,Diani Market,70.00/Kg,100.00/Kg,1500.00,Kwale,2024-10-03
Dry Onions,-,-,-,Cheptulu,100.00/Kg,150.00/Kg,800.00,Vihiga,2024-10-03
Dry Onions,-,-,-,Kimilili town,50.00/Kg,60.00/Kg,10000.00,Bungoma,2024-10-03
Dry Onions,-,-,-,Kimilili town,50.00/Kg,60.00/Kg,10000.00,Bungoma,2024-10-03
Dry Onions,-,-,-,Kutus,80.00/Kg,90.00/Kg,2210.00,Kirinyaga,2024-10-03
Dry Onions,-,-,-,Charo wa Mae,60.00/Kg,80.00/Kg,3200.00,Kilifi,2024-10-03
Dry Onions,-,-,-,Kagio,50.00/Kg,80.00/Kg,2000.00,Kirinyaga,2024-10-03
Dry Onions,-,-,-,Gongoni,83.33/Kg,100.00/Kg,48000.00,Kilifi,2024-10-03
Dry Onions,-,-,-,Kawangware,66.67/Kg,-,,Nairobi,2024-10-03
Dry Onions,-,-,-,Molo,-,90.00/Kg,1500.00,Nakuru,2024-10-03
Dry Onions,-,-,-,Mwingi Town,70.00/Kg,100.00/Kg,6000.00,Kitui,2024-10-03
Dry Onions,-,-,-,Kakamega Town,50.00/Kg,100.00/Kg,1000.00,Kakamega,2024-10-02
