Commodity,Classification,Grade,Sex,Market,Wholesale,Retail,Supply Volume,County,Date
Dry Maize,White Maize,-,-,Mbale,42.22/Kg,47.62/Kg,14000.00,Vihiga,2025-02-11
Dry Maize,White Maize,-,-,Ndanai Market,41.11/Kg,55.00/Kg,45000.00,Bomet,2025-02-07
Dry Maize,White Maize,-,-,Mbale,40.00/Kg,50.00/Kg,10000.00,Vihiga,2025-02-06
Dry Maize,White Maize,-,-,Mbale,42.22/Kg,41.67/Kg,14000.00,Vihiga,2025-02-04
Dry Maize,White Maize,-,-,Ndanai Market,41.11/Kg,65.00/Kg,45000.00,Bomet,2025-01-31
Dry Maize,White Maize,-,-,Mbale,42.22/Kg,50.51/Kg,12000.00,Vihiga,2025-01-30
Dry Maize,White Maize,-,-,Mbale,40.45/Kg,50.51/Kg,10000.00,Vihiga,2025-01-28
Dry Maize,White Maize,-,-,Mbale,40.45/Kg,50.51/Kg,10000.00,Vihiga,2025-01-22
Dry Maize,White Maize,-,-,Bomet Market,38.89/Kg,60.00/Kg,16000.00,Bomet,2025-01-17
Dry Maize,White Maize,-,-,Bomet Market,41.11/Kg,60.00/Kg,10000.00,Bomet,2025-01-17
Dry Maize,White Maize,-,-,Kangemi Market,37.78/Kg,48.00/Kg,,Nairobi,2024-11-11
Dry Maize,White Maize,-,-,Kangemi Market,36.67/Kg,48.00/Kg,,Nairobi,2024-11-08
Dry Maize,White Maize,-,-,Kangemi Market,37.78/Kg,50.00/Kg,,Nairobi,2024-11-05
Dry Maize,Mixed-Traditional,-,-,Kipkaren,40.00/Kg,55.00/Kg,2500.00,Kakamega,2024-10-10
Dry Maize,White Maize,-,-,Kipkaren,50.00/Kg,70.00/Kg,5000.00,Kakamega,2024-10-10
Dry Maize,White Maize,-,-,Kimilili town,24.00/Kg,28.00/Kg,1000.00,Bungoma,2024-10-10
Dry Maize,White Maize,-,-,Kalundu,37.78/Kg,40.00/Kg,,Kitui,2024-10-10
Dry Maize,White Maize,-,-,Kawangware,40.00/Kg,50.00/Kg,,Nairobi,2024-10-10
Dry Maize,Mixed-Traditional,-,-,Mwatate,31.11/Kg,35.00/Kg,,Taita-Taveta,2024-10-10
Dry Maize,White Maize,-,-,Mwingi Town,37.78/Kg,45.00/Kg,90000.00,Kitui,2024-10-10
Dry Maize,White Maize,-,-,Rongo,26.67/Kg,31.60/Kg,4500.00,Migori,2024-10-09
Dry Maize,White Maize,-,-,Molo,-,28.89/Kg,1500.00,Nakuru,2024-10-09
Dry Maize,White Maize,-,-,Mulot,40.00/Kg,50.00/Kg,12000.00,Bomet,2024-10-09
Dry Maize,White Maize,-,-,Sabatia,31.11/Kg,37.50/Kg,29700.00,Kakamega,2024-10-09
Dry Maize,White Maize,-,-,Kakamega Town,26.67/Kg,35.00/Kg,4500.00,Kakamega,2024-10-09
Dry Maize,Yellow Maize,-,-,Miruka,-,50.00/Kg,450.00,Nyamira,2024-10-09
Dry Maize,Yellow Maize,-,-,Miruka,-,50.00/Kg,450.00,Nyamira,2024-10-09
Dry Maize,Yellow Maize,-,-,Miruka,-,50.00/Kg,450.00,Nyamira,2024-10-09
Dry Maize,Yellow Maize,-,-,Miruka,-,50.00/Kg,450.00,Nyamira,2024-10-09
Dry Maize,Yellow Maize,-,-,Miruka,-,50.00/Kg,450.00,Nyamira,2024-10-09
Dry Maize,Yellow Maize,-,-,Miruka,-,50.00/Kg,450.00,Nyamira,2024-10-09
Dry Maize,Yellow Maize,-,-,Miruka,-,50.00/Kg,450.00,Nyamira,2024-10-09
Dry Maize,Yellow Maize,-,-,Miruka,-,50.00/Kg,450.00,Nyamira,2024-10-09
Dry Maize,Yellow Maize,-,-,Miruka,-,50.00/Kg,450.00,Nyamira,2024-10-09
Dry Maize,Yellow Maize,-,-,Miruka,-,50.00/Kg,450.00,Nyamira,2024-10-09
Dry Maize,Yellow Maize,-,-,Miruka,-,50.00/Kg,450.00,Nyamira,2024-10-09
Dry Maize,Yellow Maize,-,-,Miruka,-,50.00/Kg,450.00,Nyamira,2024-10-09
Dry Maize,Yellow Maize,-,-,Miruka,-,50.00/Kg,450.00,Nyamira,2024-10-09
Dry Maize,Yellow Maize,-,-,Miruka,-,50.00/Kg,450.00,Nyamira,2024-10-09
Dry Maize,Yellow Maize,-,-,Miruka,-,50.00/Kg,450.00,Nyamira,2024-10-09
Dry Maize,Yellow Maize,-,-,Miruka,-,50.00/Kg,450.00,Nyamira,2024-10-09
Dry Maize,Yellow Maize,-,-,Miruka,-,50.00/Kg,450.00,Nyamira,2024-10-09
Dry Maize,Yellow Maize,-,-,Miruka,-,50.00/Kg,450.00,Nyamira,2024-10-09
Dry Maize,Yellow Maize,-,-,Miruka,-,50.00/Kg,450.00,Nyamira,2024-10-09
Dry Maize,Yellow Maize,-,-,Miruka,-,50.00/Kg,450.00,Nyamira,2024-10-09
Dry Maize,Yellow Maize,-,-,Miruka,-,50.00/Kg,450.00,Nyamira,2024-10-09
Dry Maize,Yellow Maize,-,-,Miruka,-,50.00/Kg,450.00,Nyamira,2024-10-09
Dry Maize,Yellow Maize,-,-,Miruka,-,50.00/Kg,450.00,Nyamira,2024-10-09
Dry Maize,Yellow Maize,-,-,Miruka,-,50.00/Kg,450.00,Nyamira,2024-10-09
Dry Maize,Yellow Maize,-,-,Miruka,-,50.00/Kg,450.00,Nyamira,2024-10-09
Dry Maize,White Maize,-,-,Miruka,33.33/Kg,45.00/Kg,54000.00,Nyamira,2024-10-09
Dry Maize,White Maize,-,-,Miruka,33.33/Kg,45.00/Kg,54000.00,Nyamira,2024-10-09
Dry Maize,White Maize,-,-,Nyamakima,40.00/Kg,70.00/Kg,,Nairobi,2024-10-09
Dry Maize,White Maize,-,-,Kangeta,38.89/Kg,40.00/Kg,1350.00,Meru,2024-10-09
Dry Maize,White Maize,-,-,Kawangware,40.00/Kg,50.00/Kg,,Nairobi,2024-10-09
Dry Maize,Mixed-Traditional,-,-,Makutano Embu,35.56/Kg,50.00/Kg,,Embu,2024-10-09
Dry Maize,White Maize,-,-,Embu Town,33.33/Kg,50.00/Kg,9000.00,Embu,2024-10-09
Dry Maize,Mixed-Traditional,-,-,Embu Town,33.33/Kg,50.00/Kg,4000.00,Embu,2024-10-09
Dry Maize,Yellow Maize,-,-,Gikomba,-,100.00/Kg,,Nairobi,2024-10-09
Dry Maize,White Maize,-,-,Gikomba,38.89/Kg,50.00/Kg,,Nairobi,2024-10-09
Dry Maize,White Maize,-,-,Kamukuywa,28.89/Kg,37.50/Kg,11000.00,Bungoma,2024-10-09
Dry Maize,White Maize,-,-,Bondo,88.89/Kg,50.00/Kg,14000.00,Siaya,2024-10-08
Dry Maize,White Maize,-,-,Cheptulu,35.56/Kg,50.00/Kg,2400.00,Vihiga,2024-10-08
Dry Maize,Mixed-Traditional,-,-,Bondeni,37.50/Kg,45.00/Kg,600.00,Trans-Nzoia,2024-10-08
Dry Maize,White Maize,-,-,Molo,-,28.89/Kg,1500.00,Nakuru,2024-10-08
Dry Maize,White Maize,-,-,Molo,-,28.89/Kg,1500.00,Nakuru,2024-10-08
Dry Maize,White Maize,-,-,Maua,42.22/Kg,50.00/Kg,27000.00,Meru,2024-10-08
Dry Maize,White Maize,-,-,Kawangware,40.00/Kg,50.00/Kg,,Nairobi,2024-10-08
Dry Maize,White Maize,-,-,Isebania Market,-,32.00/Kg,5000.00,Migori,2024-10-08
Dry Maize,Mixed-Traditional,-,-,Nkubu,33.33/Kg,40.00/Kg,540.00,Meru,2024-10-08
Dry Maize,White Maize,-,-,Nyamakima,3700.00/Kg,70.00/Kg,,Nairobi,2024-10-08
Dry Maize,Mixed-Traditional,-,-,Chuka,35.56/Kg,50.00/Kg,900.00,Tharaka-Nithi,2024-10-08
Dry Maize,White Maize,-,-,Kagio,50.00/Kg,65.00/Kg,,Kirinyaga,2024-10-08
Dry Maize,White Maize,-,-,Ngurubani Market,33.33/Kg,40.00/Kg,8500.00,Kirinyaga,2024-10-08
Dry Maize,White Maize,-,-,Kapkwen,34.44/Kg,45.00/Kg,27000.00,Bomet,2024-10-08
Dry Maize,White Maize,-,-,Butere Livestock Market,33.33/Kg,40.00/Kg,22500.00,Kakamega,2024-10-07
Dry Maize,White Maize,-,-,Rongo,37.78/Kg,21.91/Kg,4500.00,Migori,2024-10-07
Dry Maize,Yellow Maize,-,-,Aram,41.69/Kg,46.32/Kg,1800.00,Siaya,2024-10-07
Dry Maize,White Maize,-,-,Aram,35.56/Kg,41.53/Kg,13500.00,Siaya,2024-10-07
Dry Maize,Mixed-Traditional,-,-,Aram,41.53/Kg,46.15/Kg,5400.00,Siaya,2024-10-07
Dry Maize,White Maize,-,-,Nyamakima,40.00/Kg,70.00/Kg,,Nairobi,2024-10-07
Dry Maize,White Maize,-,-,Bondo,38.89/Kg,50.00/Kg,28000.00,Siaya,2024-10-07
Dry Maize,White Maize,-,-,Kisasi,35.00/Kg,40.00/Kg,,Kitui,2024-10-07
Dry Maize,Yellow Maize,-,-,Gikomba,-,90.00/Kg,3000.00,Nairobi,2024-10-07
Dry Maize,White Maize,-,-,Gikomba,38.89/Kg,60.00/Kg,,Nairobi,2024-10-07
Dry Maize,White Maize,-,-,Kawangware,-,50.00/Kg,,Nairobi,2024-10-07
Dry Maize,White Maize,-,-,Mabera,34.62/Kg,34.00/Kg,58000.00,Migori,2024-10-07
Dry Maize,White Maize,-,-,Kibiok,35.00/Kg,40.00/Kg,9000.00,Nandi,2024-10-06
Dry Maize,White Maize,-,-,Muhoroni,40.00/Kg,50.00/Kg,5000.00,Kisumu,2024-10-06
Dry Maize,White Maize,-,-,Isebania Market,-,32.00/Kg,60000.00,Migori,2024-10-05
Dry Maize,White Maize,-,-,Kapsabet Market,35.56/Kg,40.00/Kg,10000.00,Nandi,2024-10-05
Dry Maize,White Maize,-,-,Taveta Retail Market,30.00/Kg,40.00/Kg,5000.00,Taita-Taveta,2024-10-05
Dry Maize,Mixed-Traditional,-,-,Chwele,40.00/Kg,50.00/Kg,4500000.00,Bungoma,2024-10-04
Dry Maize,White Maize,-,-,Rongo,26.67/Kg,28.25/Kg,4500.00,Migori,2024-10-04
Dry Maize,White Maize,-,-,Bungoma town,29.17/Kg,41.67/Kg,4000.00,Bungoma,2024-10-04
Dry Maize,White Maize,-,-,Mumias,31.11/Kg,37.50/Kg,4500.00,Kakamega,2024-10-04
Dry Maize,White Maize,-,-,Ndanai Market,33.33/Kg,45.00/Kg,36000.00,Bomet,2024-10-04
Dry Maize,Mixed-Traditional,-,-,Chuka,40.00/Kg,50.00/Kg,900.00,Tharaka-Nithi,2024-10-04
Dry Maize,Mixed-Traditional,-,-,Gakoromone,36.67/Kg,30.00/Kg,4000.00,Meru,2024-10-04
Dry Maize,Yellow Maize,-,-,Gikomba,-,100.00/Kg,,Nairobi,2024-10-04
Dry Maize,White Maize,-,-,Gikomba,-,55.00/Kg,,Nairobi,2024-10-04
Dry Maize,White Maize,-,-,Nyamakima,38.89/Kg,70.00/Kg,,Nairobi,2024-10-04
Dry Maize,White Maize,-,-,Kawangware,40.00/Kg,50.00/Kg,,Nairobi,2024-10-04
Dry Maize,White Maize,-,-,Ngurubani Market,33.33/Kg,40.00/Kg,9200.00,Kirinyaga,2024-10-04
Dry Maize,White Maize,-,-,Mabera,-,34.00/Kg,120000.00,Migori,2024-10-04
Dry Maize,Mixed-Traditional,-,-,Isebania Market,-,34.00/Kg,54000.00,Migori,2024-10-03
Dry Maize,White Maize,-,-,Kerugoya,30.00/Kg,50.00/Kg,4500.00,Kirinyaga,2024-10-03
Dry Maize,White Maize,-,-,Ahero,40.00/Kg,45.00/Kg,7000.00,Kisumu,2024-10-03
Dry Maize,White Maize,-,-,Aram,35.56/Kg,41.53/Kg,10800.00,Siaya,2024-10-03
Dry Maize,Mixed-Traditional,-,-,Aram,41.53/Kg,46.15/Kg,4500.00,Siaya,2024-10-03
Dry Maize,White Maize,-,-,Katito,45.00/Kg,50.00/Kg,7500.00,Kisumu,2024-10-03
Dry Maize,White Maize,-,-,Nyamakima,38.89/Kg,70.00/Kg,,Nairobi,2024-10-03
Dry Maize,White Maize,-,-,Bondo,38.89/Kg,50.00/Kg,28000.00,Siaya,2024-10-03
Dry Maize,Yellow Maize,-,-,Gikomba,-,100.00/Kg,,Nairobi,2024-10-03
Dry Maize,White Maize,-,-,Gikomba,-,55.00/Kg,,Nairobi,2024-10-03
Dry Maize,White Maize,-,-,Cheptulu,-,50.00/Kg,2000.00,Vihiga,2024-10-03
Dry Maize,White Maize,-,-,Kutus,35.00/Kg,40.00/Kg,0.00,Kirinyaga,2024-10-03
Dry Maize,White Maize,-,-,Kimilili town,28.00/Kg,30.00/Kg,10000.00,Bungoma,2024-10-03
Dry Maize,White Maize,-,-,Kagio,50.00/Kg,65.00/Kg,,Kirinyaga,2024-10-03
Dry Maize,White Maize,-,-,Kawangware,40.00/Kg,50.00/Kg,,Nairobi,2024-10-03
Dry Maize,White Maize,-,-,Kakamega Town,27.78/Kg,35.00/Kg,1800.00,Kakamega,2024-10-02
Dry Maize,White Maize,-,-,Molo,-,30.00/Kg,1400.00,Nakuru,2024-10-02
Dry Maize,Yellow Maize,-,-,Miruka,-,50.00/Kg,540.00,Nyamira,2024-10-02
Dry Maize,White Maize,-,-,Miruka,33.33/Kg,39.44/Kg,54000.00,Nyamira,2024-10-02
Dry Maize,White Maize,-,-,Kawangware,40.00/Kg,50.00/Kg,,Nairobi,2024-10-02
Dry Maize,White Maize,-,-,Kangeta,38.89/Kg,40.00/Kg,1600.00,Meru,2024-10-02
Dry Maize,White Maize,-,-,Mulot,37.78/Kg,90.00/Kg,12000.00,Bomet,2024-10-02
Dry Maize,White Maize,-,-,Taveta Retail Market,35.00/Kg,40.00/Kg,5000.00,Taita-Taveta,2024-10-02
Dry Maize,Yellow Maize,-,-,Gikomba,-,100.00/Kg,,Nairobi,2024-10-02
Dry Maize,White Maize,-,-,Gikomba,40.00/Kg,55.00/Kg,,Nairobi,2024-10-02
Dry Maize,White Maize,-,-,Nyamakima,38.89/Kg,70.00/Kg,,Nairobi,2024-10-02
Dry Maize,Mixed-Traditional,-,-,Makutano Embu,-,25.00/Kg,,Embu,2024-10-02
Dry Maize,White Maize,-,-,Embu Town,35.56/Kg,50.00/Kg,12000.00,Embu,2024-10-02
Dry Maize,Mixed-Traditional,-,-,Embu Town,33.33/Kg,50.00/Kg,4000.00,Embu,2024-10-02
Dry Maize,White Maize,-,-,Rongo,26.67/Kg,23.70/Kg,4500.00,Migori,2024-10-02
Dry Maize,White Maize,-,-,Bondo,37.78/Kg,50.00/Kg,28000.00,Siaya,2024-10-02
Dry Maize,White Maize,-,-,Mabera,-,32.00/Kg,50000.00,Migori,2024-10-02
Dry Maize,White Maize,-,-,Ngurubani Market,33.33/Kg,40.00/Kg,8000.00,Kirinyaga,2024-10-02
Dry Maize,White Maize,-,-,Ngurubani Market,33.33/Kg,40.00/Kg,7500.00,Kirinyaga,2024-10-02
Dry Maize,White Maize,-,-,Kimilili town,30.00/Kg,35.00/Kg,1000.00,Bungoma,2024-10-02
Dry Maize,Mixed-Traditional,-,-,Chwele,35.00/Kg,50.00/Kg,4500000.00,Bungoma,2024-10-02
