Commodity,Classification,Grade,Sex,Market,Wholesale,Retail,Supply Volume,County,Date
Finger Millet,-,-,-,Mbale,-,200.00/Kg,420.00,Vihiga,2025-02-11
Finger Millet,-,-,-,Kawangware,135.00/Kg,150.00/Kg,,Nairobi,2025-02-10
Finger Millet,-,-,-,Kawangware,135.00/Kg,150.00/Kg,,Nairobi,2025-02-10
Finger Millet,-,-,-,Mbale,-,201.01/Kg,400.00,Vihiga,2025-02-06
Finger Millet,-,-,-,Mbale,-,200.00/Kg,450.00,Vihiga,2025-02-04
Finger Millet,-,-,-,Mbale,-,200.00/Kg,500.00,Vihiga,2025-01-30
Finger Millet,-,-,-,Mbale,-,127.27/Kg,400.00,Vihiga,2025-01-28
Finger Millet,-,-,-,Mbale,-,125.00/Kg,400.00,Vihiga,2025-01-22
Finger Millet,-,-,-,Kipkaren,200.00/Kg,240.00/Kg,2000.00,Kakamega,2024-10-10
Finger Millet,-,-,-,Kimilili town,90.00/Kg,100.00/Kg,1000.00,Bungoma,2024-10-10
Finger Millet,-,-,-,Sabatia,88.89/Kg,115.00/Kg,450.00,Kakamega,2024-10-09
Finger Millet,-,-,-,Miruka,130.00/Kg,140.00/Kg,2700.00,Nyamira,2024-10-09
Finger Millet,-,-,-,Nyamakima,100.00/Kg,13000.00/Kg,,Nairobi,2024-10-09
Finger Millet,-,-,-,Makutano Embu,100.00/Kg,155.00/Kg,,Embu,2024-10-09
Finger Millet,-,-,-,Embu Town,80.00/Kg,110.00/Kg,3000.00,Embu,2024-10-09
Finger Millet,-,-,-,Gikomba,-,140.00/Kg,2000.00,Nairobi,2024-10-09
Finger Millet,-,-,-,Kabiyet Market,150.00/Kg,175.00/Kg,500.00,Nandi,2024-10-08
Finger Millet,-,-,-,Bondo,133.33/Kg,150.00/Kg,2000.00,Siaya,2024-10-08
Finger Millet,-,-,-,Cheptulu,135.00/Kg,150.00/Kg,560.00,Vihiga,2024-10-08
Finger Millet,-,-,-,Bondeni,100.00/Kg,125.00/Kg,300.00,Trans-Nzoia,2024-10-08
Finger Millet,-,-,-,Maua,95.00/Kg,120.00/Kg,2600.00,Meru,2024-10-08
Finger Millet,-,-,-,Isebania Market,-,100.00/Kg,1000.00,Migori,2024-10-08
Finger Millet,-,-,-,Nkubu,100.00/Kg,120.00/Kg,720.00,Meru,2024-10-08
Finger Millet,-,-,-,Nyamakima,100.00/Kg,13000.00/Kg,,Nairobi,2024-10-08
Finger Millet,-,-,-,Chuka,100.00/Kg,125.00/Kg,4000.00,Tharaka-Nithi,2024-10-08
Finger Millet,-,-,-,Kagio,140.00/Kg,160.00/Kg,,Kirinyaga,2024-10-08
Finger Millet,-,-,-,Kapkwen,140.00/Kg,150.00/Kg,2700.00,Bomet,2024-10-08
Finger Millet,-,-,-,Aram,141.13/Kg,161.29/Kg,500.00,Siaya,2024-10-07
Finger Millet,-,-,-,Bondo,104.44/Kg,175.00/Kg,2400.00,Siaya,2024-10-07
Finger Millet,-,-,-,Kisasi,70.00/Kg,80.00/Kg,,Kitui,2024-10-07
Finger Millet,-,-,-,Gikomba,-,140.00/Kg,3500.00,Nairobi,2024-10-07
Finger Millet,-,-,-,Mabera,-,120.00/Kg,2000.00,Migori,2024-10-07
Finger Millet,-,-,-,Kibiok,100.00/Kg,125.00/Kg,1400.00,Nandi,2024-10-06
Finger Millet,-,-,-,Khayega,108.00/Kg,120.00/Kg,380.00,Kakamega,2024-10-06
Finger Millet,-,-,-,Kapsabet Market,100.00/Kg,120.00/Kg,3500.00,Nandi,2024-10-05
Finger Millet,-,-,-,Bungoma town,110.00/Kg,150.00/Kg,3500.00,Bungoma,2024-10-04
Finger Millet,-,-,-,Mumias,116.67/Kg,150.00/Kg,900.00,Kakamega,2024-10-04
Finger Millet,-,-,-,Chuka,100.00/Kg,125.00/Kg,4000.00,Tharaka-Nithi,2024-10-04
Finger Millet,-,-,-,Gakoromone,111.11/Kg,120.00/Kg,200.00,Meru,2024-10-04
Finger Millet,-,-,-,Mabera,-,120.00/Kg,2500.00,Migori,2024-10-04
Finger Millet,-,-,-,Isebania Market,-,80.00/Kg,3500.00,Migori,2024-10-03
Finger Millet,-,-,-,Kerugoya,80.00/Kg,125.00/Kg,800.00,Kirinyaga,2024-10-03
Finger Millet,-,-,-,Ahero,115.00/Kg,125.00/Kg,990.00,Kisumu,2024-10-03
Finger Millet,-,-,-,Aram,141.13/Kg,161.29/Kg,150.00,Siaya,2024-10-03
Finger Millet,-,-,-,Katito,125.00/Kg,150.00/Kg,1800.00,Kisumu,2024-10-03
Finger Millet,-,-,-,Bondo,111.11/Kg,175.00/Kg,7000.00,Siaya,2024-10-03
Finger Millet,-,-,-,Kimilili town,70.00/Kg,90.00/Kg,700.00,Bungoma,2024-10-03
Finger Millet,-,-,-,Makutano Embu,-,100.00/Kg,,Embu,2024-10-03
Finger Millet,-,-,-,Miruka,110.00/Kg,125.00/Kg,1800.00,Nyamira,2024-10-02
Finger Millet,-,-,-,Gikomba,100.00/Kg,150.00/Kg,,Nairobi,2024-10-02
Finger Millet,-,-,-,Embu Town,60.00/Kg,125.00/Kg,4000.00,Embu,2024-10-02
Finger Millet,-,-,-,Bondo,133.33/Kg,150.00/Kg,2.00,Siaya,2024-10-01
Finger Millet,-,-,-,Cheptulu,-,150.00/Kg,700.00,Vihiga,2024-10-01
Finger Millet,-,-,-,Kisasi,70.00/Kg,100.00/Kg,,Kitui,2024-10-01
Finger Millet,-,-,-,Maua,95.00/Kg,120.00/Kg,2600.00,Meru,2024-10-01
Finger Millet,-,-,-,Kapkwen,140.00/Kg,150.00/Kg,12000.00,Bomet,2024-10-01
Finger Millet,-,-,-,Nkubu,100.00/Kg,120.00/Kg,630.00,Meru,2024-10-01
Finger Millet,-,-,-,Kathonzweni,120.00/Kg,130.00/Kg,290.00,Makueni,2024-10-01
Finger Millet,-,-,-,Chuka,100.00/Kg,125.00/Kg,4000.00,Tharaka-Nithi,2024-10-01
Finger Millet,-,-,-,Bondeni,100.00/Kg,125.00/Kg,300.00,Trans-Nzoia,2024-10-01
Finger Millet,-,-,-,Kerugoya,80.00/Kg,125.00/Kg,750.00,Kirinyaga,2024-09-30
Finger Millet,-,-,-,Aram,141.13/Kg,161.29/Kg,150.00,Siaya,2024-09-30
Finger Millet,-,-,-,Nyamakima,90.00/Kg,110.00/Kg,,Nairobi,2024-09-30
Finger Millet,-,-,-,Nyamakima,70.00/Kg,100.00/Kg,,Nairobi,2024-09-30
Finger Millet,-,-,-,Gikomba,-,150.00/Kg,,Nairobi,2024-09-30
Finger Millet,-,-,-,Mabera,-,80.00/Kg,5300.00,Migori,2024-09-30
Finger Millet,-,-,-,Khayega,108.00/Kg,120.00/Kg,470.00,Kakamega,2024-09-29
Finger Millet,-,-,-,Kibuye,-,150.00/Kg,8640.00,Kisumu,2024-09-29
