Commodity,Classification,Grade,Sex,Market,Wholesale,Retail,Supply Volume,County,Date
Kales/Sukuma Wiki,-,-,-,Nairobi Wakulima,-,50.00/Kg,,Nairobi,2025-02-12
Kales/Sukuma Wiki,-,-,-,Ndanai Market,5.56/Kg,10.00/Kg,2700.00,Bomet,2025-02-07
Kales/Sukuma Wiki,-,-,-,Mbale,25.00/Kg,99.50/Kg,6000.00,Vihiga,2025-02-06
Kales/Sukuma Wiki,-,-,-,Mbale,25.00/Kg,88.89/Kg,5000.00,Vihiga,2025-02-04
Kales/Sukuma Wiki,-,-,-,Ndanai Market,10.00/Kg,20.00/Kg,2700.00,Bomet,2025-01-31
Kales/Sukuma Wiki,-,-,-,Mbale,25.00/Kg,89.29/Kg,8000.00,Vihiga,2025-01-30
Kales/Sukuma Wiki,-,-,-,Mbale,25.00/Kg,125.00/Kg,6000.00,Vihiga,2025-01-28
Kales/Sukuma Wiki,-,-,-,Nairobi Wakulima,-,40.00/Kg,,Nairobi,2025-01-24
Kales/Sukuma Wiki,-,-,-,Mbale,30.00/Kg,60.00/Kg,6000.00,Vihiga,2025-01-22
Kales/Sukuma Wiki,-,-,-,Nairobi Wakulima,-,30.00/Kg,,Nairobi,2024-11-18
Kales/Sukuma Wiki,-,-,-,Nairobi Wakulima,-,35.00/Kg,,Nairobi,2024-11-06
Kales/Sukuma Wiki,-,-,-,Nairobi Wakulima,-,40.00/Kg,,Nairobi,2024-10-16
Kales/Sukuma Wiki,-,-,-,Kalundu,30.00/Kg,50.00/Kg,,Kitui,2024-10-10
Kales/Sukuma Wiki,-,-,-,Mwatate,45.00/Kg,50.00/Kg,,Taita-Taveta,2024-10-10
Kales/Sukuma Wiki,-,-,-,Mwingi Town,40.00/Kg,60.00/Kg,1000.00,Kitui,2024-10-10
Kales/Sukuma Wiki,-,-,-,Rongo,20.00/Kg,51.76/Kg,2500.00,Migori,2024-10-09
