Commodity,Classification,Grade,Sex,Market,Wholesale,Retail,Supply Volume,County,Date
Red Irish potato,-,-,-,Kangemi Market,-,140.00/Kg,,Nairobi,2024-11-11
Red Irish potato,-,-,-,Kipkaren,70.00/Kg,100.00/Kg,1000.00,Kakamega,2024-10-10
Red Irish potato,-,-,-,Mulot,84.00/Kg,120.00/Kg,500.00,Bomet,2024-10-09
Red Irish potato,-,-,-,Molo,-,30.00/Kg,2100.00,Nakuru,2024-10-09
Red Irish potato,-,-,-,Kamukuywa,70.00/Kg,80.00/Kg,8000.00,Bungoma,2024-10-09
Red Irish potato,-,-,-,Bondo,64.29/Kg,100.00/Kg,7000.00,Siaya,2024-10-08
Red Irish potato,-,-,-,Molo,-,30.00/Kg,2200.00,Nakuru,2024-10-08
Red Irish potato,-,-,-,Kirwara Market,-,76.92/Kg,1800.00,Muranga,2024-10-08
Red Irish potato,-,-,-,Molo,-,25.00/Kg,1200.00,Nakuru,2024-10-07
Red Irish potato,-,-,-,Kisasi,30.00/Kg,50.00/Kg,,Kitui,2024-10-07
Red Irish potato,-,-,-,Kibiok,60.00/Kg,65.00/Kg,7500.00,Nandi,2024-10-06
Red Irish potato,-,-,-,Chwele,38.89/Kg,90.00/Kg,750000.00,Bungoma,2024-10-04
Red Irish potato,-,-,-,Bungoma town,60.00/Kg,80.00/Kg,4000.00,Bungoma,2024-10-04
Red Irish potato,-,-,-,Kirwara Market,-,76.92/Kg,1500.00,Muranga,2024-10-04
Red Irish potato,-,-,-,Molo,-,25.00/Kg,1500.00,Nakuru,2024-10-04
Red Irish potato,-,-,-,Gakoromone,100.00/Kg,300.00/Kg,2000.00,Meru,2024-10-04
Red Irish potato,-,-,-,Wundanyi,-,60.00/Kg,600.00,Taita-Taveta,2024-10-04
Red Irish potato,-,-,-,Ahero,100.00/Kg,150.00/Kg,3000.00,Kisumu,2024-10-03
Red Irish potato,-,-,-,Kutus,47.27/Kg,63.83/Kg,32500.00,Kirinyaga,2024-10-03
Red Irish potato,-,-,-,Molo,-,25.00/Kg,1800.00,Nakuru,2024-10-03
Red Irish potato,-,-,-,Molo,-,25.00/Kg,2108.00,Nakuru,2024-10-02
Red Irish potato,-,-,-,Molo,-,25.00/Kg,2108.00,Nakuru,2024-10-01
Red Irish potato,-,-,-,Kirwara Market,-,76.92/Kg,2000.00,Muranga,2024-10-01
Red Irish potato,-,-,-,Kathonzweni,70.00/Kg,80.00/Kg,21000.00,Makueni,2024-10-01
Red Irish potato,-,-,-,Kutus,50.00/Kg,65.22/Kg,25600.00,Kirinyaga,2024-09-30
Red Irish potato,-,-,-,Gikomba,75.00/Kg,100.00/Kg,,Nairobi,2024-09-30
Red Irish potato,-,-,-,Kibiok,40.00/Kg,46.67/Kg,7500.00,Nandi,2024-09-29
Red Irish potato,-,-,-,Molo,-,25.00/Kg,2100.00,Nakuru,2024-09-28
Red Irish potato,-,-,-,Chwele,45.83/Kg,75.00/Kg,9500000.00,Bungoma,2024-09-27
Red Irish potato,-,-,-,Bungoma town,65.00/Kg,80.00/Kg,3800.00,Bungoma,2024-09-27
Red Irish potato,-,-,-,Gakoromone,42.86/Kg,120.00/Kg,1000.00,Meru,2024-09-27
Red Irish potato,-,-,-,Molo,-,25.00/Kg,2100.00,Nakuru,2024-09-27
Red Irish potato,-,-,-,Mabera,3.75/Kg,26.67/Kg,8000.00,Migori,2024-09-26
Red Irish potato,-,-,-,Mulot,77.78/Kg,130.00/Kg,500.00,Bomet,2024-09-25
Red Irish potato,-,-,-,Molo,-,25.00/Kg,1600.00,Nakuru,2024-09-25
Red Irish potato,-,-,-,Kirwara Market,-,92.31/Kg,800.00,Muranga,2024-09-24
Red Irish potato,-,-,-,Molo,-,25.00/Kg,2100.00,Nakuru,2024-09-24
Red Irish potato,-,-,-,Mwangulu,80.00/Kg,120.00/Kg,1235.00,Kwale,2024-09-23
Red Irish potato,-,-,-,Gikomba,75.56/Kg,100.00/Kg,2500.00,Nairobi,2024-09-23
Red Irish potato,-,-,-,Molo,-,25.00/Kg,1800.00,Nakuru,2024-09-21
Red Irish potato,-,-,-,Bungoma town,66.67/Kg,77.78/Kg,3200.00,Bungoma,2024-09-20
Red Irish potato,-,-,-,Molo,-,25.00/Kg,2108.00,Nakuru,2024-09-20
Red Irish potato,-,-,-,Cheptulu,-,90.91/Kg,1800.00,Vihiga,2024-09-19
Red Irish potato,-,-,-,Kutus,50.00/Kg,64.66/Kg,33200.00,Kirinyaga,2024-09-19
Red Irish potato,-,-,-,Molo,-,25.00/Kg,2100.00,Nakuru,2024-09-18
Red Irish potato,-,-,-,Ugunja,70.00/Kg,80.00/Kg,,Siaya,2024-09-18
Red Irish potato,-,-,-,Ahero,100.00/Kg,150.00/Kg,2000.00,Kisumu,2024-09-17
