Commodity,Classification,Grade,Sex,Market,Wholesale,Retail,Supply Volume,County,Date
Beans Red Haricot (Wairimu),-,-,-,Kasuku,95.56/Kg,120.00/Kg,75.00,Nyandarua,2022-08-07
Beans Red Haricot (Wairimu),-,-,-,Daraja Mbili,60.00/Kg,80.00/Kg,2000.00,Kisii,2022-08-07
Beans Red Haricot (Wairimu),-,-,-,Lomut,180.00/Kg,160.00/Kg,13000.00,West-Pokot,2022-08-06
Beans Red Haricot (Wairimu),-,-,-,Athi River Open air Market,94.44/Kg,110.00/Kg,225.00,Machakos,2022-08-06
Beans Red Haricot (Wairimu),-,-,-,Kitengela,94.44/Kg,110.00/Kg,3500.00,Kajiado,2022-08-06
Beans Red Haricot (Wairimu),-,-,-,Embu Town,105.56/Kg,120.00/Kg,1500.00,Embu,2022-08-06
Beans Red Haricot (Wairimu),-,-,-,Akala,100.00/Kg,125.00/Kg,200.00,Siaya,2022-08-06
Beans Red Haricot (Wairimu),-,-,-,Nyahururu Municipal Market,0.01/Kg,95.00/Kg,20000.00,Laikipia,2022-08-05
Beans Red Haricot (Wairimu),-,-,-,Nyamakima,111.11/Kg,130.00/Kg,,Nairobi,2022-08-05
Beans Red Haricot (Wairimu),-,-,-,Gakindu,96.67/Kg,109.09/Kg,1500.00,Nyeri,2022-08-05
Beans Red Haricot (Wairimu),-,-,-,Chuka,94.44/Kg,130.00/Kg,4500.00,Tharaka-Nithi,2022-08-05
Beans Red Haricot (Wairimu),-,-,-,Soko mpya,77.78/Kg,100.00/Kg,550.00,Nyandarua,2022-08-05
Beans Red Haricot (Wairimu),-,-,-,Mumias,100.00/Kg,120.00/Kg,2500.00,Kakamega,2022-08-05
Beans Red Haricot (Wairimu),-,-,-,Ngurubani Market,100.00/Kg,130.00/Kg,1000.00,Kirinyaga,2022-08-05
Beans Red Haricot (Wairimu),-,-,-,Kibuye,115.56/Kg,125.00/Kg,,Kisumu,2022-08-05
Beans Red Haricot (Wairimu),-,-,-,Nyamakima,100.00/Kg,120.00/Kg,,Nairobi,2022-08-04
Beans Red Haricot (Wairimu),-,-,-,Cheptulu,105.00/Kg,125.00/Kg,900.00,Vihiga,2022-08-04
Beans Red Haricot (Wairimu),-,-,-,Kaanwa,100.00/Kg,115.00/Kg,250.00,Tharaka-Nithi,2022-08-04
Beans Red Haricot (Wairimu),-,-,-,Nakuru Wakulima,110.00/Kg,120.00/Kg,,Nakuru,2022-08-04
Beans Red Haricot (Wairimu),-,-,-,Aram,91.24/Kg,109.49/Kg,250.00,Siaya,2022-08-04
Beans Red Haricot (Wairimu),-,-,-,Kiserian crops market,75.00/Kg,80.00/Kg,900.00,Kajiado,2022-08-04
Beans Red Haricot (Wairimu),-,-,-,Kagio,94.44/Kg,120.00/Kg,,Kirinyaga,2022-08-04
