Commodity,Classification,Grade,Sex,Market,Wholesale,Retail,Supply Volume,County,Date
Red Sorghum,-,-,-,Lodwar Fresh Produce,60.00/Kg,60.00/Kg,60.00,Turkana,2021-11-15
Red Sorghum,-,-,-,Machakos Main Market,-,100.00/Kg,,Machakos,2021-11-15
Red Sorghum,-,-,-,Cheptulu,97.78/Kg,115.00/Kg,200.00,Vihiga,2021-11-15
Red Sorghum,-,-,-,Kalundu,46.67/Kg,60.00/Kg,,Kitui,2021-11-15
Red Sorghum,-,-,-,Akala,40.00/Kg,50.00/Kg,1400.00,Siaya,2021-11-14
Red Sorghum,-,-,-,Malimili Livestock Market,40.00/Kg,70.00/Kg,600.00,Kakamega,2021-11-14
Red Sorghum,-,-,-,Kibuye,44.44/Kg,50.00/Kg,,Kisumu,2021-11-14
Red Sorghum,-,-,-,Kibiok,60.00/Kg,150.00/Kg,900.00,Nandi,2021-11-14
Red Sorghum,-,-,-,Kapsabet Market,60.00/Kg,100.00/Kg,800.00,Nandi,2021-11-13
Red Sorghum,-,-,-,Mpeketoni,80.00/Kg,150.00/Kg,280.00,Lamu,2021-11-13
Red Sorghum,-,-,-,Athi River Open air Market,44.44/Kg,60.00/Kg,450.00,Machakos,2021-11-13
Red Sorghum,-,-,-,Nanyuki Open Air Market,40.00/Kg,60.00/Kg,800.00,Laikipia,2021-11-13
Red Sorghum,-,-,-,Lodwar Fresh Produce,60.00/Kg,60.00/Kg,60.00,Turkana,2021-11-13
Red Sorghum,-,-,-,Embu Town,60.00/Kg,70.00/Kg,1200.00,Embu,2021-11-13
Red Sorghum,-,-,-,Siaya,-,42.86/Kg,,Siaya,2021-11-13
Red Sorghum,-,-,-,Lodwar Fresh Produce,90.00/Kg,90.00/Kg,90.00,Turkana,2021-11-12
Red Sorghum,-,-,-,Marindi,-,60.00/Kg,990.00,Migori,2021-11-12
Red Sorghum,-,-,-,Amukura,-,50.00/Kg,590.00,Busia,2021-11-12
Red Sorghum,-,-,-,Cheptulu,97.78/Kg,115.00/Kg,300.00,Vihiga,2021-11-12
Red Sorghum,-,-,-,Siakago,-,60.00/Kg,800.00,Embu,2021-11-12
Red Sorghum,-,-,-,Kimumu,100.00/Kg,140.00/Kg,2500.00,Uasin-Gishu,2021-11-12
Red Sorghum,-,-,-,Sondu- Kericho,45.00/Kg,55.00/Kg,75.00,Kericho,2021-11-12
Red Sorghum,-,-,-,Ugunja,35.56/Kg,45.00/Kg,4230.00,Siaya,2021-11-12
Red Sorghum,-,-,-,Diani Market,60.00/Kg,70.00/Kg,1000.00,Kwale,2021-11-12
