Commodity,Classification,Grade,Sex,Market,Wholesale,Retail,Supply Volume,County,Date
Rice,Sindano,-,-,Eldoret Main,175.00/Kg,210.00/Kg,5000.00,Uasin-Gishu,2022-09-02
Rice,Sindano,-,-,Cheptulu,134.00/Kg,175.00/Kg,1400.00,Vihiga,2022-09-02
Rice,Sindano,-,-,Nakuru Wakulima,116.00/Kg,140.00/Kg,,Nakuru,2022-09-02
Rice,Pishori,-,-,Nakuru Wakulima,128.00/Kg,150.00/Kg,,Nakuru,2022-09-02
Rice,Pishori,-,-,Kitale Municipality Market,104.00/Kg,120.00/Kg,1800.00,Trans-Nzoia,2022-09-02
Rice,Pishori,-,-,Kerugoya,175.00/Kg,200.00/Kg,2000.00,Kirinyaga,2022-09-02
Rice,Sindano,-,-,Rhamu Market,128.00/Kg,140.00/Kg,2100.00,Mandera,2022-09-02
Rice,Pishori,-,-,Ngurubani Market,170.00/Kg,190.00/Kg,20000.00,Kirinyaga,2022-09-02
Rice,Sindano,-,-,Daraja Mbili,104.44/Kg,140.00/Kg,3300.00,Kisii,2022-09-02
Rice,Pishori,-,-,Daraja Mbili,116.67/Kg,152.00/Kg,400.00,Kisii,2022-09-02
Rice,Sindano,-,-,Makupa Majengo,150.00/Kg,150.00/Kg,200.00,Mombasa,2022-09-01
Rice,Pishori,-,-,Mabera,128.57/Kg,142.86/Kg,2400.00,Migori,2022-09-01
Rice,Sindano,-,-,Kiserian crops market,120.00/Kg,130.00/Kg,4000.00,Kajiado,2022-09-01
Rice,Pishori,-,-,Kiserian crops market,90.00/Kg,120.00/Kg,1500.00,Kajiado,2022-09-01
Rice,IRR,-,-,Ndhiwa,155.00/Kg,170.00/Kg,1000.00,Homa-bay,2022-09-01
Rice,IRR,-,-,Maua,120.00/Kg,140.00/Kg,5000.00,Meru,2022-09-01
Rice,Sindano,-,-,Limuru Rongai Market,-,120.00/Kg,7500.00,Kiambu,2022-09-01
Rice,Pishori,-,-,Limuru Rongai Market,-,200.00/Kg,5000.00,Kiambu,2022-09-01
Rice,Pishori,-,-,Malindi Old Market,190.00/Kg,220.00/Kg,100.00,Kilifi,2022-09-01
Rice,Pishori,-,-,Kutus,180.00/Kg,190.00/Kg,2500.00,Kirinyaga,2022-09-01
Rice,Sindano,-,-,Elwak Market,96.00/Kg,120.00/Kg,2550.00,Mandera,2022-09-01
Rice,Pishori,-,-,Elwak Market,136.00/Kg,145.00/Kg,2000.00,Mandera,2022-09-01
Rice,Sindano,-,-,Marigat,100.00/Kg,120.00/Kg,5000.00,Baringo,2022-09-01
Rice,Pishori,-,-,Marigat,100.00/Kg,150.00/Kg,5000.00,Baringo,2022-09-01
Rice,Sindano,-,-,Garissa Soko Mugdi,100.00/Kg,120.00/Kg,10000.00,Garissa,2022-09-01
Rice,Pishori,-,-,Garissa Soko Mugdi,180.00/Kg,200.00/Kg,3000.00,Garissa,2022-09-01
Rice,IRR,-,-,Kitale Municipality Market,104.00/Kg,96.15/Kg,1200.00,Trans-Nzoia,2022-09-01
Rice,Sindano,-,-,Nakuru Top Market,-,200.00/Kg,,Nakuru,2022-09-01
Rice,Pishori,-,-,Mbita,120.00/Kg,150.00/Kg,4000.00,Homa-bay,2022-09-01
