Commodity,Classification,Grade,Sex,Market,Wholesale,Retail,Supply Volume,County,Date
Banana (Ripening),-,-,-,Eldoret Main,21.43/Kg,-,,Uasin-Gishu,2008-06-25
Banana (Ripening),-,-,-,Loitoktok Market,14.29/Kg,-,,Kajiado,2008-06-25
Banana (Ripening),-,-,-,Nairobi Wakulima,32.86/Kg,-,,Nairobi,2008-06-24
Banana (Ripening),-,-,-,Kongowea,22.50/Kg,-,,Mombasa,2008-06-24
Banana (Ripening),-,-,-,Kibuye,25.00/Kg,-,,Kisumu,2008-06-24
Banana (Ripening),-,-,-,Nakuru Wakulima,17.86/Kg,-,,Nakuru,2008-06-24
Banana (Ripening),-,-,-,Gakoromone,21.43/Kg,-,,Meru,2008-06-24
Banana (Ripening),-,-,-,Eldoret Main,21.43/Kg,-,,Uasin-Gishu,2008-06-24
Banana (Ripening),-,-,-,Nairobi Wakulima,32.86/Kg,-,,Nairobi,2008-06-23
Banana (Ripening),-,-,-,Kongowea,21.43/Kg,-,,Mombasa,2008-06-23
Banana (Ripening),-,-,-,Kibuye,17.86/Kg,-,,Kisumu,2008-06-23
Banana (Ripening),-,-,-,Nakuru Wakulima,17.86/Kg,-,,Nakuru,2008-06-23
Banana (Ripening),-,-,-,Eldoret Main,21.43/Kg,-,,Uasin-Gishu,2008-06-23
Banana (Ripening),-,-,-,Daraja Mbili,14.29/Kg,-,,Kisii,2008-06-23
Banana (Ripening),-,-,-,Nairobi Wakulima,27.14/Kg,-,,Nairobi,2008-06-20
Banana (Ripening),-,-,-,Kongowea,17.86/Kg,-,,Mombasa,2008-06-20
Banana (Ripening),-,-,-,Nyahururu Municipal Market,42.86/Kg,-,,Laikipia,2008-06-20
Banana (Ripening),-,-,-,Kibuye,17.86/Kg,-,,Kisumu,2008-06-20
Banana (Ripening),-,-,-,Nakuru Wakulima,17.86/Kg,-,,Nakuru,2008-06-20
Banana (Ripening),-,-,-,Eldoret Main,21.43/Kg,-,,Uasin-Gishu,2008-06-20
Banana (Ripening),-,-,-,Busia Market,71.43/Kg,-,,Busia,2008-06-20
Banana (Ripening),-,-,-,Nairobi Wakulima,27.14/Kg,-,,Nairobi,2008-06-19
Banana (Ripening),-,-,-,Kibuye,17.86/Kg,-,,Kisumu,2008-06-19
Banana (Ripening),-,-,-,Nakuru Wakulima,17.86/Kg,-,,Nakuru,2008-06-19
Banana (Ripening),-,-,-,Eldoret Main,21.43/Kg,-,,Uasin-Gishu,2008-06-19
Banana (Ripening),-,-,-,Daraja Mbili,14.29/Kg,-,,Kisii,2008-06-19
Banana (Ripening),-,-,-,Embu Town,21.43/Kg,-,,Embu,2008-06-19
Banana (Ripening),-,-,-,Taveta,25.00/Kg,-,,Taita-Taveta,2008-06-19
Banana (Ripening),-,-,-,Nairobi Wakulima,33.57/Kg,-,,Nairobi,2008-06-18
Banana (Ripening),-,-,-,Kongowea,22.50/Kg,-,,Mombasa,2008-06-18
Banana (Ripening),-,-,-,Nakuru Wakulima,17.86/Kg,-,,Nakuru,2008-06-18
Banana (Ripening),-,-,-,Eldoret Main,21.43/Kg,-,,Uasin-Gishu,2008-06-18
Banana (Ripening),-,-,-,Busia Market,64.29/Kg,-,,Busia,2008-06-18
Banana (Ripening),-,-,-,Mukuyu Market,46.43/Kg,-,,Muranga,2008-06-18
Banana (Ripening),-,-,-,Nairobi Wakulima,33.57/Kg,-,,Nairobi,2008-06-17
Banana (Ripening),-,-,-,Kongowea,21.43/Kg,-,,Mombasa,2008-06-17
Banana (Ripening),-,-,-,Kibuye,14.29/Kg,-,,Kisumu,2008-06-17
Banana (Ripening),-,-,-,Nakuru Wakulima,17.86/Kg,-,,Nakuru,2008-06-17
Banana (Ripening),-,-,-,Gakoromone,18.57/Kg,-,,Meru,2008-06-17
Banana (Ripening),-,-,-,Nairobi Wakulima,30.00/Kg,-,,Nairobi,2008-06-16
Banana (Ripening),-,-,-,Kongowea,22.14/Kg,-,,Mombasa,2008-06-16
Banana (Ripening),-,-,-,Kibuye,14.29/Kg,-,,Kisumu,2008-06-16
Banana (Ripening),-,-,-,Daraja Mbili,14.29/Kg,-,,Kisii,2008-06-16
Banana (Ripening),-,-,-,Nakuru Wakulima,17.86/Kg,-,,Nakuru,2008-06-16
Banana (Ripening),-,-,-,Eldoret Main,21.43/Kg,-,,Uasin-Gishu,2008-06-16
Banana (Ripening),-,-,-,Nairobi Wakulima,31.43/Kg,-,,Nairobi,2008-06-13
Banana (Ripening),-,-,-,Kongowea,21.07/Kg,-,,Mombasa,2008-06-13
Banana (Ripening),-,-,-,Kibuye,14.29/Kg,-,,Kisumu,2008-06-13
Banana (Ripening),-,-,-,Nakuru Wakulima,17.86/Kg,-,,Nakuru,2008-06-13
Banana (Ripening),-,-,-,Mukuyu Market,46.43/Kg,-,,Muranga,2008-06-13
Banana (Ripening),-,-,-,Busia Market,71.43/Kg,-,,Busia,2008-06-13
Banana (Ripening),-,-,-,Nairobi Wakulima,31.43/Kg,-,,Nairobi,2008-06-12
Banana (Ripening),-,-,-,Kongowea,17.50/Kg,-,,Mombasa,2008-06-12
Banana (Ripening),-,-,-,Kibuye,21.43/Kg,-,,Kisumu,2008-06-12
Banana (Ripening),-,-,-,Nakuru Wakulima,17.86/Kg,-,,Nakuru,2008-06-12
Banana (Ripening),-,-,-,Eldoret Main,21.43/Kg,-,,Uasin-Gishu,2008-06-12
Banana (Ripening),-,-,-,Embu Town,21.43/Kg,-,,Embu,2008-06-12
