Commodity,Classification,Grade,Sex,Market,Wholesale,Retail,Supply Volume,County,Date
Spinach,-,-,-,Nairobi Wakulima,-,50.00/Kg,,Nairobi,2025-02-12
Spinach,-,-,-,Mbale,30.00/Kg,192.31/Kg,1000.00,Vihiga,2025-02-04
Spinach,-,-,-,Mbale,-,96.15/Kg,1000.00,Vihiga,2025-01-30
Spinach,-,-,-,Mbale,40.00/Kg,188.68/Kg,800.00,Vihiga,2025-01-28
Spinach,-,-,-,Nairobi Wakulima,-,40.00/Kg,,Nairobi,2025-01-24
Spinach,-,-,-,Mbale,40.00/Kg,100.00/Kg,1200.00,Vihiga,2025-01-22
Spinach,-,-,-,Nairobi Wakulima,-,40.00/Kg,,Nairobi,2024-11-06
Spinach,-,-,-,Nairobi Wakulima,-,50.00/Kg,,Nairobi,2024-10-16
Spinach,-,-,-,Kalundu,56.00/Kg,100.00/Kg,,Kitui,2024-10-10
Spinach,-,-,-,Mwatate,70.00/Kg,80.00/Kg,,Taita-Taveta,2024-10-10
Spinach,-,-,-,Mwingi Town,25.00/Kg,30.00/Kg,500.00,Kitui,2024-10-10
Spinach,-,-,-,Mulot,50.00/Kg,100.00/Kg,300.00,Bomet,2024-10-09
Spinach,-,-,-,Molo,-,12.00/Kg,1100.00,Nakuru,2024-10-09
Spinach,-,-,-,Kangeta,25.00/Kg,35.00/Kg,320.00,Meru,2024-10-09
Spinach,-,-,-,Makutano Embu,30.00/Kg,60.00/Kg,,Embu,2024-10-09
Spinach,-,-,-,Embu Town,50.00/Kg,70.00/Kg,1400.00,Embu,2024-10-09
Spinach,-,-,-,Bondo,360.00/Kg,50.00/Kg,2000.00,Siaya,2024-10-08
Spinach,-,-,-,Cheptulu,40.00/Kg,60.00/Kg,400.00,Vihiga,2024-10-08
Spinach,-,-,-,Bondeni,28.57/Kg,32.86/Kg,400.00,Trans-Nzoia,2024-10-08
Spinach,-,-,-,Kerugoya,25.00/Kg,40.00/Kg,180.00,Kirinyaga,2024-10-08
Spinach,-,-,-,Maua,16.67/Kg,50.00/Kg,1200.00,Meru,2024-10-08
Spinach,-,-,-,Chuka,30.00/Kg,60.00/Kg,300.00,Tharaka-Nithi,2024-10-08
Spinach,-,-,-,Kirwara Market,-,30.77/Kg,1600.00,Muranga,2024-10-08
Spinach,-,-,-,Ngurubani Market,10.00/Kg,15.00/Kg,850.00,Kirinyaga,2024-10-08
Spinach,-,-,-,Molo,-,12.00/Kg,780.00,Nakuru,2024-10-07
Spinach,-,-,-,Aram,54.00/Kg,60.98/Kg,5000.00,Siaya,2024-10-07
Spinach,-,-,-,Aram,54.00/Kg,60.98/Kg,5000.00,Siaya,2024-10-07
Spinach,-,-,-,Kisasi,30.10/Kg,50.00/Kg,,Kitui,2024-10-07
Spinach,-,-,-,Kibiok,30.00/Kg,40.00/Kg,350.00,Nandi,2024-10-06
Spinach,-,-,-,Khayega,80.00/Kg,100.00/Kg,250.00,Kakamega,2024-10-06
Spinach,-,-,-,Taveta Retail Market,35.00/Kg,60.00/Kg,250.00,Taita-Taveta,2024-10-05
Spinach,-,-,-,Kirwara Market,-,28.57/Kg,1500.00,Muranga,2024-10-04
Spinach,-,-,-,Charo wa Mae,60.00/Kg,80.00/Kg,600.00,Kilifi,2024-10-04
Spinach,-,-,-,Mumias,-,90.00/Kg,,Kakamega,2024-10-04
Spinach,-,-,-,Gakoromone,60.00/Kg,80.00/Kg,300.00,Meru,2024-10-04
Spinach,-,-,-,Chuka,30.00/Kg,60.00/Kg,300.00,Tharaka-Nithi,2024-10-04
Spinach,-,-,-,Nairobi Wakulima,33.33/Kg,60.00/Kg,,Nairobi,2024-10-04
Spinach,-,-,-,Voi Wholesale,40.00/Kg,-,800.00,Taita-Taveta,2024-10-04
Spinach,-,-,-,Wundanyi,-,40.00/Kg,300.00,Taita-Taveta,2024-10-04
Spinach,-,-,-,Ngurubani Market,10.00/Kg,15.00/Kg,650.00,Kirinyaga,2024-10-04
Spinach,-,-,-,Kerugoya,15.00/Kg,30.00/Kg,200.00,Kirinyaga,2024-10-03
Spinach,-,-,-,Bondo,50.00/Kg,100.00/Kg,1500.00,Siaya,2024-10-03
Spinach,-,-,-,Katito,22.22/Kg,50.00/Kg,1500.00,Kisumu,2024-10-03
Spinach,-,-,-,Kabati - Muranga,35.00/Kg,50.00/Kg,,Muranga,2024-10-03
Spinach,-,-,-,Aram,52.00/Kg,58.14/Kg,3000.00,Siaya,2024-10-03
Spinach,-,-,-,Kinango,50.00/Kg,70.00/Kg,250.00,Kwale,2024-10-03
Spinach,-,-,-,Cheptulu,50.00/Kg,70.00/Kg,300.00,Vihiga,2024-10-03
Spinach,-,-,-,Kutus,20.00/Kg,40.00/Kg,560.00,Kirinyaga,2024-10-03
Spinach,-,-,-,Kagio,20.00/Kg,40.00/Kg,1400.00,Kirinyaga,2024-10-03
Spinach,-,-,-,Molo,-,15.00/Kg,350.00,Nakuru,2024-10-02
Spinach,-,-,-,Kangeta,25.00/Kg,35.00/Kg,300.00,Meru,2024-10-02
Spinach,-,-,-,Embu Town,50.00/Kg,80.00/Kg,1000.00,Embu,2024-10-02
Spinach,-,-,-,Bondo,36.00/Kg,45.00/Kg,2000.00,Siaya,2024-10-01
Spinach,-,-,-,Maua,16.67/Kg,50.00/Kg,120.00,Meru,2024-10-01
Spinach,-,-,-,Kisasi,30.10/Kg,50.10/Kg,,Kitui,2024-10-01
Spinach,-,-,-,Kirwara Market,-,30.77/Kg,1500.00,Muranga,2024-10-01
Spinach,-,-,-,Kathonzweni,30.00/Kg,40.00/Kg,2500.00,Makueni,2024-10-01
Spinach,-,-,-,Chuka,30.00/Kg,60.00/Kg,300.00,Tharaka-Nithi,2024-10-01
Spinach,-,-,-,Ngurubani Market,10.00/Kg,15.00/Kg,950.00,Kirinyaga,2024-10-01
Spinach,-,-,-,Bondeni,28.57/Kg,35.71/Kg,300.00,Trans-Nzoia,2024-10-01
Spinach,-,-,-,Voi Wholesale,40.00/Kg,-,750.00,Taita-Taveta,2024-10-01
