Commodity,Classification,Grade,Sex,Market,Wholesale,Retail,Supply Volume,County,Date
Wheat,-,-,-,Gikomba,-,110.00/Kg,,Nairobi,2024-10-09
Wheat,-,-,-,Bondeni,66.67/Kg,88.89/Kg,300.00,Trans-Nzoia,2024-10-08
Wheat,-,-,-,Maua,77.78/Kg,100.00/Kg,1980.00,Meru,2024-10-08
Wheat,-,-,-,Kagio,100.00/Kg,120.00/Kg,,Kirinyaga,2024-10-08
Wheat,-,-,-,Gikomba,-,100.00/Kg,,Nairobi,2024-10-07
Wheat,-,-,-,Gikomba,-,100.00/Kg,,Nairobi,2024-10-04
Wheat,-,-,-,Gikomba,-,100.00/Kg,,Nairobi,2024-10-03
Wheat,-,-,-,Gikomba,-,100.00/Kg,,Nairobi,2024-10-02
Wheat,-,-,-,Maua,77.78/Kg,100.00/Kg,2160.00,Meru,2024-10-01
Wheat,-,-,-,Kathonzweni,70.00/Kg,90.00/Kg,320.00,Makueni,2024-10-01
Wheat,-,-,-,Bondeni,66.67/Kg,88.89/Kg,300.00,Trans-Nzoia,2024-10-01
Wheat,-,-,-,Gikomba,-,100.00/Kg,,Nairobi,2024-09-30
Wheat,-,-,-,Kibuye,-,85.00/Kg,,Kisumu,2024-09-29
Wheat,-,-,-,Gikomba,-,100.00/Kg,,Nairobi,2024-09-27
Wheat,-,-,-,Maua,77.78/Kg,100.00/Kg,1980.00,Meru,2024-09-26
Wheat,-,-,-,Gikomba,-,100.00/Kg,,Nairobi,2024-09-26
Wheat,-,-,-,Gikomba,-,100.00/Kg,,Nairobi,2024-09-25
Wheat,-,-,-,Gikomba,-,100.00/Kg,,Nairobi,2024-09-24
Wheat,-,-,-,Bondeni,66.67/Kg,88.89/Kg,300.00,Trans-Nzoia,2024-09-24
Wheat,-,-,-,Kagio,100.00/Kg,120.00/Kg,,Kirinyaga,2024-09-23
Wheat,-,-,-,Gikomba,-,90.00/Kg,,Nairobi,2024-09-23
Wheat,-,-,-,Kibuye,-,90.00/Kg,,Kisumu,2024-09-22
Wheat,-,-,-,Kutus,90.00/Kg,100.00/Kg,0.00,Kirinyaga,2024-09-19
Wheat,-,-,-,Gikomba,-,100.00/Kg,,Nairobi,2024-09-18
Wheat,-,-,-,Webuye town,100.00/Kg,120.00/Kg,300.00,Bungoma,2024-09-18
Wheat,-,-,-,Gikomba,-,100.00/Kg,,Nairobi,2024-09-17
