Commodity,Classification,Grade,Sex,Market,Wholesale,Retail,Supply Volume,County,Date
Maize Flour,Dola,-,-,Mbale,-,80.00/Kg,2000.00,Vihiga,2025-02-11
Maize Flour,Dola,-,-,Mbale,58.33/Kg,80.00/Kg,4000.00,Vihiga,2025-02-04
Maize Flour,Jembe,-,-,Mbale,58.33/Kg,80.00/Kg,4000.00,Vihiga,2025-01-30
Maize Flour,Dola,-,-,Mbale,58.33/Kg,75.00/Kg,1200.00,Vihiga,2025-01-28
Maize Flour,Dola,-,-,Mbale,60.00/Kg,75.00/Kg,1000.00,Vihiga,2025-01-22
Maize Flour,Hostess,-,-,Nairobi Supermarkets,-,88.00/Kg,,Nairobi,2025-01-10
Maize Flour,Equatorial afya ugali,-,-,Nairobi Supermarkets,-,115.00/Kg,,Nairobi,2025-01-10
Maize Flour,Dola,-,-,Nairobi Supermarkets,-,69.50/Kg,,Nairobi,2025-01-10
Maize Flour,Ajab,-,-,Nairobi Supermarkets,-,68.00/Kg,,Nairobi,2025-01-10
Maize Flour,Amaize,-,-,Nairobi Supermarkets,-,89.00/Kg,,Nairobi,2025-01-10
Maize Flour,Ajab,-,-,Nairobi Supermarkets,-,68.00/Kg,,Nairobi,2025-01-10
Maize Flour,210(two ten),-,-,Nairobi Supermarkets,-,66.50/Kg,,Nairobi,2025-01-10
Maize Flour,Ugali Afya,-,-,Nairobi Supermarkets,-,123.50/Kg,,Nairobi,2025-01-10
Maize Flour,Taifa,-,-,Nairobi Supermarkets,-,69.00/Kg,,Nairobi,2025-01-10
Maize Flour,Soko,-,-,Nairobi Supermarkets,-,75.00/Kg,,Nairobi,2025-01-10
Maize Flour,Raha Premium,-,-,Nairobi Supermarkets,-,94.50/Kg,,Nairobi,2025-01-10
Maize Flour,Pembe,-,-,Nairobi Supermarkets,-,70.00/Kg,,Nairobi,2025-01-10
Maize Flour,Pembe,-,-,Nairobi Supermarkets,-,70.00/Kg,,Nairobi,2025-01-10
Maize Flour,Oryx,-,-,Nairobi Supermarkets,-,75.50/Kg,,Nairobi,2025-01-10
Maize Flour,Ndovu,-,-,Nairobi Supermarkets,-,67.50/Kg,,Nairobi,2025-01-10
Maize Flour,Mama,-,-,Nairobi Supermarkets,-,67.00/Kg,,Nairobi,2025-01-10
Maize Flour,Jogoo wimbi,-,-,Nairobi Supermarkets,-,126.50/Kg,,Nairobi,2025-01-10
Maize Flour,Jogoo,-,-,Nairobi Supermarkets,-,73.00/Kg,,Nairobi,2025-01-10
Maize Flour,Hostess,-,-,Nairobi Supermarkets,-,88.00/Kg,,Nairobi,2025-01-10
Maize Flour,Equatorial afya ugali,-,-,Nairobi Supermarkets,-,115.00/Kg,,Nairobi,2025-01-10
Maize Flour,Dola,-,-,Nairobi Supermarkets,-,69.50/Kg,,Nairobi,2025-01-10
Maize Flour,Amaize,-,-,Nairobi Supermarkets,-,89.00/Kg,,Nairobi,2025-01-10
Maize Flour,Ajab,-,-,Nairobi Supermarkets,-,68.00/Kg,,Nairobi,2025-01-10
Maize Flour,210(two ten),-,-,Nairobi Supermarkets,-,66.50/Kg,,Nairobi,2025-01-10
Maize Flour,Ugali Afya,-,-,Nairobi Supermarkets,-,128.50/Kg,,Nairobi,2024-12-23
Maize Flour,Tajiri maize meal,-,-,Nairobi Supermarkets,-,68.50/Kg,,Nairobi,2024-12-23
Maize Flour,Taifa,-,-,Nairobi Supermarkets,-,72.00/Kg,,Nairobi,2024-12-23
Maize Flour,Soko,-,-,Nairobi Supermarkets,-,74.50/Kg,,Nairobi,2024-12-23
Maize Flour,Raha Premium,-,-,Nairobi Supermarkets,-,94.50/Kg,,Nairobi,2024-12-23
Maize Flour,Raha Premium,-,-,Nairobi Supermarkets,-,94.50/Kg,,Nairobi,2024-12-23
Maize Flour,Pembe,-,-,Nairobi Supermarkets,-,70.00/Kg,,Nairobi,2024-12-23
Maize Flour,Oryx,-,-,Nairobi Supermarkets,-,75.50/Kg,,Nairobi,2024-12-23
Maize Flour,Ndovu,-,-,Nairobi Supermarkets,-,68.00/Kg,,Nairobi,2024-12-23
Maize Flour,Mama,-,-,Nairobi Supermarkets,-,66.50/Kg,,Nairobi,2024-12-23
Maize Flour,Kifaru,-,-,Nairobi Supermarkets,-,78.00/Kg,,Nairobi,2024-12-23
Maize Flour,Jogoo wimbi,-,-,Nairobi Supermarkets,-,126.50/Kg,,Nairobi,2024-12-23
Maize Flour,Jogoo,-,-,Nairobi Supermarkets,-,73.00/Kg,,Nairobi,2024-12-23
Maize Flour,Equatorial afya ugali,-,-,Nairobi Supermarkets,-,115.00/Kg,,Nairobi,2024-12-23
Maize Flour,Dola,-,-,Nairobi Supermarkets,-,72.00/Kg,,Nairobi,2024-12-23
Maize Flour,Cosmo,-,-,Nairobi Supermarkets,-,59.50/Kg,,Nairobi,2024-12-23
Maize Flour,Amaize,-,-,Nairobi Supermarkets,-,91.00/Kg,,Nairobi,2024-12-23
