Commodity,Classification,Grade,Sex,Market,Wholesale,Retail,Supply Volume,County,Date
Omena,Dried,-,-,Mbale,-,503.36/Kg,2000,Vihiga,2/11/2025
Omena,Dried,-,-,Mbale,-,559.28/Kg,2000,Vihiga,2/6/2025
Omena,Dried,-,-,Mbale,-,560.54/Kg,1100,Vihiga,1/31/2025
Omena,Dried,-,-,Mbale,616.59/Kg,472.97/Kg,440,Vihiga,1/22/2025
Omena,Dried,-,-,Bomet Market,60.00/Kg,150.00/Kg,1200,Bomet,1/17/2025
Omena,Dried,-,-,Kipkaren,500.00/Kg,650.00/Kg,3000,Kakamega,10/10/2024
Omena,Dried,-,-,Kimilili town,900.00/Kg,250.00/Kg,200,Bungoma,10/10/2024
Omena,Dried,-,-,Rongo,390.00/Kg,456.85/Kg,2500,Migori,10/9/2024
Omena,Dried,-,-,Mulot,197.78/Kg,300.00/Kg,300,Bomet,10/9/2024
Omena,Dried,-,-,Gikomba,-,100.00/Kg,,Nairobi,10/9/2024
Omena,Dried,-,-,Kamukuywa,1125.00/Kg,1250.00/Kg,1600,Bungoma,10/9/2024
Omena,Dried,-,-,Bondo,700.00/Kg,900.00/Kg,5000,Siaya,10/8/2024
Omena,Dried,-,-,Cheptulu,-,450.00/Kg,350,Vihiga,10/8/2024
Omena,Dried,-,-,Rongo,390.00/Kg,712.03/Kg,2500,Migori,10/7/2024
Omena,Dried,-,-,Aram,900.00/Kg,1000.00/Kg,300,Siaya,10/7/2024
Omena,Dried,-,-,Mwangulu,500.00/Kg,550.00/Kg,1750,Kwale,10/7/2024
Omena,Dried,-,-,Kibiok,300.00/Kg,350.00/Kg,1200,Nandi,10/6/2024
Omena,Dried,-,-,Khayega,375.00/Kg,458.33/Kg,300,Kakamega,10/6/2024
Omena,Dried,-,-,Muhoroni,400.00/Kg,500.00/Kg,2000,Kisumu,10/6/2024
Omena,Dried,-,-,Chwele,66.67/Kg,150.00/Kg,1000000,Bungoma,10/4/2024
Omena,Dried,-,-,Rongo,400.00/Kg,1388.89/Kg,2500,Migori,10/4/2024
Omena,Dried,-,-,Mumias,-,1100.00/Kg,,Kakamega,10/4/2024
Omena,Dried,-,-,Bondo,500.00/Kg,800.00/Kg,6000,Siaya,10/3/2024
Omena,Dried,-,-,Aram,900.00/Kg,1000.00/Kg,150,Siaya,10/3/2024
Omena,Dried,-,-,Ahero,700.00/Kg,800.00/Kg,4000,Kisumu,10/3/2024
Omena,Dried,-,-,Katito,127.78/Kg,350.00/Kg,5600,Kisumu,10/3/2024
Omena,Dried,-,-,Kinango,542.86/Kg,600.00/Kg,1470,Kwale,10/3/2024
Omena,Dried,-,-,Cheptulu,-,550.00/Kg,150,Vihiga,10/3/2024
Omena,Dried,-,-,Kimilili town,700.00/Kg,800.00/Kg,100,Bungoma,10/3/2024
Omena,Dried,-,-,Bondo,700.00/Kg,900.00/Kg,7000,Siaya,10/1/2024
Omena,Dried,-,-,Cheptulu,-,400.00/Kg,450,Vihiga,10/1/2024
Omena,Dried,-,-,Mwangulu,550.00/Kg,600.00/Kg,1620,Kwale,9/30/2024
Omena,Dried,-,-,Aram,900.00/Kg,1000.00/Kg,150,Siaya,9/30/2024
Omena,Dried,-,-,Gikomba,-,100.00/Kg,,Nairobi,9/30/2024
Omena,Dried,-,-,Khayega,357.14/Kg,392.86/Kg,1000,Kakamega,9/29/2024
Omena,Dried,-,-,Kibuye,-,225.00/Kg,,Kisumu,9/29/2024
Omena,Dried,-,-,Kibiok,300.00/Kg,350.00/Kg,1000,Nandi,9/29/2024
Omena,Dried,-,-,Mumias,-,1300.00/Kg,,Kakamega,9/29/2024
Omena,Dried,-,-,Muhoroni,428.57/Kg,535.71/Kg,1000,Kisumu,9/29/2024
Omena,Dried,-,-,Chwele,100.00/Kg,250.00/Kg,1200000,Bungoma,9/27/2024
Omena,Dried,-,-,Cheptulu,-,450.00/Kg,580,Vihiga,9/27/2024
Omena,Dried,-,-,Mumias,-,1400.00/Kg,,Kakamega,9/27/2024
Omena,Dried,-,-,Kinango,542.86/Kg,600.00/Kg,1400,Kwale,9/27/2024
Omena,Dried,-,-,Kipkaren,500.00/Kg,650.00/Kg,2500,Kakamega,9/26/2024
Omena,Fried,-,-,Kimilili town,700.00/Kg,800.00/Kg,350,Bungoma,9/26/2024
Omena,Dried,-,-,Mulot,188.89/Kg,300.00/Kg,400,Bomet,9/25/2024
Omena,Dried,-,-,Eldoret Main,175.00/Kg,190.00/Kg,2500,Uasin-Gishu,9/25/2024
Omena,Dried,-,-,Mwangulu,550.00/Kg,600.00/Kg,1260,Kwale,9/23/2024
Omena,Dried,-,-,Aram,900.00/Kg,1000.00/Kg,100,Siaya,9/23/2024
Omena,Dried,-,-,Kibuye,-,225.00/Kg,,Kisumu,9/22/2024
Omena,Dried,-,-,Muhoroni,384.62/Kg,538.46/Kg,1500,Kisumu,9/22/2024
Omena,Dried,-,-,Mumias,-,1000.00/Kg,,Kakamega,9/22/2024
Omena,Dried,-,-,Majengo Vihiga,-,350.00/Kg,1000,Vihiga,9/22/2024
Omena,Dried,-,-,Chwele,62.50/Kg,300.00/Kg,1200000,Bungoma,9/20/2024
Omena,Dried,-,-,Mumias,-,1400.00/Kg,,Kakamega,9/20/2024
Omena,Dried,-,-,Cheptulu,-,450.00/Kg,250,Vihiga,9/19/2024
Omena,Dried,-,-,Aram,900.00/Kg,1000.00/Kg,250,Siaya,9/19/2024
Omena,Dried,-,-,Kipkaren,450.00/Kg,600.00/Kg,500,Kakamega,9/19/2024
Omena,Dried,-,-,Kinango,542.86/Kg,600.00/Kg,1400,Kwale,9/19/2024
Omena,Dried,-,-,Mulot,250.00/Kg,300.00/Kg,300,Bomet,9/18/2024
Omena,Dried,-,-,Eldoret Main,165.00/Kg,175.00/Kg,3000,Uasin-Gishu,9/18/2024
Omena,Dried,-,-,Ugunja,210.00/Kg,312.50/Kg,,Siaya,9/18/2024
Omena,Dried,-,-,Bondo,600.00/Kg,800.00/Kg,2000,Siaya,9/17/2024
Omena,Dried,-,-,Mbale,-,350.00/Kg,2000,Vihiga,9/17/2024
Omena,Dried,-,-,Ahero,650.00/Kg,700.00/Kg,7000,Kisumu,9/17/2024
Omena,Dried,-,-,Kathonzweni,680.00/Kg,900.00/Kg,80,Makueni,9/17/2024
Omena,Dried,-,-,Kapsabet Market,122.22/Kg,140.00/Kg,2000,Nandi,9/17/2024
Omena,Dried,-,-,Mbale,-,333.33/Kg,2000,Vihiga,9/16/2024
Omena,Dried,-,-,Mwangulu,500.00/Kg,550.00/Kg,1200,Kwale,9/16/2024
Omena,Dried,-,-,Aram,900.00/Kg,1000.00/Kg,200,Siaya,9/16/2024
Omena,Dried,-,-,Kibuye,-,225.00/Kg,,Kisumu,9/15/2024
Omena,Dried,-,-,Khayega,400.00/Kg,458.33/Kg,800,Kakamega,9/15/2024
Omena,Dried,-,-,Muhoroni,307.69/Kg,423.08/Kg,1000,Kisumu,9/15/2024
Omena,Dried,-,-,Kibiok,300.00/Kg,350.00/Kg,800,Nandi,9/15/2024
Omena,Dried,-,-,Cheptulu,-,500.00/Kg,450,Vihiga,9/13/2024
Omena,Dried,-,-,Cheptulu,-,500.00/Kg,450,Vihiga,9/13/2024
Omena,Dried,-,-,Mumias,-,1450.00/Kg,,Kakamega,9/13/2024
Omena,Dried,-,-,Bondo,800.00/Kg,900.00/Kg,4000,Siaya,9/13/2024
Omena,Dried,-,-,Kinango,542.86/Kg,600.00/Kg,1050,Kwale,9/12/2024
Omena,Dried,-,-,Cheptulu,-,500.00/Kg,250,Vihiga,9/12/2024
Omena,Dried,-,-,Kimilili town,560.00/Kg,600.00/Kg,250,Bungoma,9/12/2024
Omena,Dried,-,-,Mwatate,500.00/Kg,550.00/Kg,,Taita-Taveta,9/12/2024
Omena,Dried,-,-,Mbale,-,166.67/Kg,2000,Vihiga,9/11/2024
Omena,Dried,-,-,Eldoret Main,165.00/Kg,175.00/Kg,330,Uasin-Gishu,9/11/2024
Omena,Dried,-,-,Cheptulu,-,500.00/Kg,450,Vihiga,9/10/2024
Omena,Dried,-,-,Kapsabet Market,200.00/Kg,140.00/Kg,,Nandi,9/10/2024
Omena,Dried,-,-,Kathonzweni,680.00/Kg,900.00/Kg,80,Makueni,9/10/2024
Omena,Dried,-,-,Eldoret Main,160.00/Kg,175.00/Kg,350,Uasin-Gishu,9/9/2024
Omena,Dried,-,-,Cheptulu,-,416.67/Kg,200,Vihiga,9/9/2024
Omena,Dried,-,-,Gikomba,-,100.00/Kg,,Nairobi,9/9/2024
Omena,Dried,-,-,Khayega,375.00/Kg,458.33/Kg,900,Kakamega,9/8/2024
Omena,Dried,-,-,Mumias,-,1000.00/Kg,,Kakamega,9/8/2024
Omena,Dried,-,-,Kibuye,-,225.00/Kg,,Kisumu,9/8/2024
Omena,Dried,-,-,Mulot,13.89/Kg,300.00/Kg,500,Bomet,9/7/2024
Omena,Dried,-,-,Serem - Vihiga,-,600.00/Kg,900,Vihiga,9/7/2024
Omena,Dried,-,-,Kapsabet Market,111.11/Kg,140.00/Kg,1000,Nandi,9/7/2024
Omena,Fresh,-,-,Akala,300.00/Kg,400.00/Kg,100,Siaya,9/7/2024
Omena,Dried,-,-,Akala,528.57/Kg,714.29/Kg,140,Siaya,9/7/2024
Omena,Dried,-,-,Rongo,400.00/Kg,548.11/Kg,1500,Migori,9/6/2024
Omena,Dried,-,-,Cheptulu,-,400.00/Kg,500,Vihiga,9/6/2024
Omena,Dried,-,-,Mumias,-,960.00/Kg,,Kakamega,9/6/2024
Omena,Dried,-,-,Wundanyi,-,450.00/Kg,300,Taita-Taveta,9/6/2024
Omena,Dried,-,-,Cheptulu,-,350.00/Kg,550,Vihiga,9/6/2024
Omena,Dried,-,-,Rongo,400.00/Kg,540.87/Kg,2500,Migori,9/5/2024
Omena,Dried,-,-,Aram,900.00/Kg,1000.00/Kg,120,Siaya,9/5/2024
Omena,Dried,-,-,Kinango,542.86/Kg,600.00/Kg,800,Kwale,9/5/2024
Omena,Dried,-,-,Kipkaren,450.00/Kg,600.00/Kg,1000,Kakamega,9/5/2024
Omena,Dried,-,-,Kimilili town,700.00/Kg,800.00/Kg,470,Bungoma,9/5/2024
Omena,Dried,-,-,Eldoret Main,165.00/Kg,175.00/Kg,1200,Uasin-Gishu,9/5/2024
Omena,Dried,-,-,Bondo,800.00/Kg,900.00/Kg,2000,Siaya,9/4/2024
Omena,Dried,-,-,Serem - Vihiga,-,600.00/Kg,800,Vihiga,9/4/2024
Omena,Fresh,-,-,Akala,300.00/Kg,400.00/Kg,100,Siaya,9/4/2024
Omena,Dried,-,-,Akala,528.57/Kg,714.29/Kg,500,Siaya,9/4/2024
Omena,Dried,-,-,Cheptulu,-,400.00/Kg,450,Vihiga,9/3/2024
Omena,Dried,-,-,Rongo,400.00/Kg,2102.80/Kg,1500,Migori,9/2/2024
Omena,Dried,-,-,Ahero,600.00/Kg,700.00/Kg,7000,Kisumu,9/2/2024
