,level_0,index,Wholesale,Retail,Supply Volume,latitude,longitude,Markup %,Month,Wholesale_log,Retail_log,Supply_Volume_log,Markup_log,Markup_boxcox
level_0,1.0,0.9988373519139677,0.01196151209671352,0.014356047688291483,-0.0886378360400438,0.037773251238850926,-0.02594232927646978,0.002155014267105891,0.00010411926492316476,0.15369810032114598,0.15764641497018853,-0.1524710157217912,-0.031087914630920258,-0.03366888472415123
index,0.9988373519139677,1.0,0.020696577264182073,0.02386848193536813,-0.09390400745480292,0.0336120535750095,-0.02256904674610232,0.0055427434900042274,-0.00022818800283407173,0.1585061032883172,0.164474754371361,-0.15906540049442866,-0.02717108206441827,-0.029955398650776694
Wholesale,0.01196151209671352,0.020696577264182073,1.0,0.9369505809963016,-0.10952873133979517,-0.011010986508258923,-0.06253011038750123,-0.16518712061433263,-0.0002465132198844926,0.8390690544062736,0.8106000379783098,-0.12829514658913901,-0.2537285356620802,-0.2517174122836433
Retail,0.014356047688291483,0.02386848193536813,0.9369505809963016,1.0,-0.11754998745186017,-0.019865424053470013,-0.06296059234318062,0.06939075381552871,0.0013734924659858775,0.7847889097364793,0.8501714743889882,-0.13528850497648676,-0.009028378743097497,-0.013840818799471428
Supply Volume,-0.0886378360400438,-0.09390400745480292,-0.10952873133979517,-0.11754998745186017,1.0,0.038369800084109396,-0.03625352670772036,-0.026781504717461265,-0.0009576070780326334,-0.12190639471838656,-0.14463942922446818,0.651993587061613,-0.03225684384387833,-0.031417984748609254
latitude,0.037773251238850926,0.0336120535750095,-0.011010986508258923,-0.019865424053470013,0.038369800084109396,1.0,-0.6452503026887187,-0.024377679081231392,-0.0006489216990769901,-0.009813733434318453,-0.026254706312379403,0.04844574699303913,-0.04006335081261947,-0.039657642341206806
longitude,-0.02594232927646978,-0.02256904674610232,-0.06253011038750123,-0.06296059234318062,-0.03625352670772036,-0.6452503026887187,1.0,-0.003191892560261885,-0.008003071277333327,-0.044061160799056615,-0.03792168489840204,-0.07891056485052865,0.03529794019596857,0.03944238740623446
Markup %,0.002155014267105891,0.0055427434900042274,-0.16518712061433263,0.06939075381552871,-0.026781504717461265,-0.024377679081231392,-0.003191892560261885,1.0,0.009373994919094164,-0.27417781090254334,0.04583316337648974,-0.034224214558378034,0.7989136837380159,0.7478285021629236
Month,0.00010411926492316476,-0.00022818800283407173,-0.0002465132198844926,0.0013734924659858775,-0.0009576070780326334,-0.0006489216990769901,-0.008003071277333327,0.009373994919094164,1.0,-0.017983966692529604,-0.014122758605660639,-0.010151718543360999,0.014508360853997208,0.014466139886395286
Wholesale_log,0.15369810032114598,0.1585061032883172,0.8390690544062736,0.7847889097364793,-0.12190639471838656,-0.009813733434318453,-0.044061160799056615,-0.27417781090254334,-0.017983966692529604,1.0,0.9333103905104474,-0.12400726959473253,-0.386944134505122,-0.3809296473075121
Retail_log,0.15764641497018853,0.164474754371361,0.8106000379783098,0.8501714743889882,-0.14463942922446818,-0.026254706312379403,-0.03792168489840204,0.04583316337648974,-0.014122758605660639,0.9333103905104474,1.0,-0.15268628988474678,-0.03860045004164233,-0.04230456503755759
Supply_Volume_log,-0.1524710157217912,-0.15906540049442866,-0.12829514658913901,-0.13528850497648676,0.651993587061613,0.04844574699303913,-0.07891056485052865,-0.034224214558378034,-0.010151718543360999,-0.12400726959473253,-0.15268628988474678,1.0,-0.04933514754160553,-0.04894814869879249
Markup_log,-0.031087914630920258,-0.02717108206441827,-0.2537285356620802,-0.009028378743097497,-0.03225684384387833,-0.04006335081261947,0.03529794019596857,0.7989136837380159,0.014508360853997208,-0.386944134505122,-0.03860045004164233,-0.04933514754160553,1.0,0.9946565066993026
Markup_boxcox,-0.03366888472415123,-0.029955398650776694,-0.2517174122836433,-0.013840818799471428,-0.031417984748609254,-0.039657642341206806,0.03944238740623446,0.7478285021629236,0.014466139886395286,-0.3809296473075121,-0.04230456503755759,-0.04894814869879249,0.9946565066993026,1.0
