1,PETER MAYA 🇺🇸,"Food constitutes 54% of household expenditures in Kenya, the Government prioritized reducing the cost of living through agricultural reforms. The focus shifted from subsidizing consumption to subsidizing production and enhancing agricultural productivity.

 #AgricultureScorecard https://t.co/PXDREXTXCt",Thu Sep 12 10:42:45 +0000 2024,13,13
2,Monicah Sey 🇰🇪🇺🇸,"In just 2 years of his administration, the Kenya Kwanza government has managed to lower significantly, the cost of food and the cost of living. 
Kazi Iendelee 
#OnwardKenya https://t.co/5eLBTEODMb",Wed Sep 18 06:56:05 +0000 2024,17,12
3,#EndAbductionsKE,"The key factors driving the high cost of living in Kenya, including inflation, unemployment, housing costs, energy expenses, and food prices.#FOODSovereigntyNOW 
#NJAARevolution 
#LandFoodAndFreedom 
@KilimoKE
@Article43Rights
@WomenHRDs
@UhaiWetu https://t.co/wp7wm3aETN",Sat Oct 21 08:04:34 +0000 2023,9,9
4,The Dawn (Jossy..y Murage)🇰🇪🇱🇷,"By recognizing that food constitutes 54% of household expenditures in Kenya, President  @WilliamsRuto's government prioritized reducing the cost of living through agricultural reforms by subsidizing production other than consumption
#AgricultureScorecard 
Ruto Delivers 
The Plan https://t.co/IoGr63MyvC",Thu Sep 12 08:30:27 +0000 2024,33,12
5,Kenyans.co.ke,We want to better the economy of Kenya by helping reduce the cost of food production - CCCC Chairman Wang Tongzhou https://t.co/b3mX4o1GsU,Tue Sep 03 14:04:36 +0000 2024,17,90
6,Czar Toreto,"Food accounts for 54% of household expenses in Kenya. To reduce the cost of living, the Govt has focused on agricultural reforms, shifting from consumption subsidies to production subsidies &amp; boosting agricultural productivity Ruto Delivers 
#AgricultureScorecard 
The Plan https://t.co/bOykT1rp9M",Thu Sep 12 06:59:32 +0000 2024,23,15
7,Mary♥️,"Food accounts for 54% of household expenditures in Kenya. To ease the cost of living, the Government has prioritized agricultural reforms, shifting focus from consumption subsidies to production subsidies, boosting productivity, and reducing food costs
#AgricultureScorecard https://t.co/6HUTr8uIwe",Thu Sep 12 07:07:36 +0000 2024,0,0
8,Monicah Sey 🇰🇪🇺🇸,"President Ruto in a bid to boost Kenya's food security initiated the subsidy on fertilizer and other farm inputs, thus increasing food production and cutting the cost of production.
#BETAProgress 
Breaking News kitengela https://t.co/k61fwiXkKp",Tue Jul 30 12:30:29 +0000 2024,11,15
9,NTV Kenya,"President Ruto: Global economic dynamics slowed down our economic performance, resulting in increased commodity prices.

Fertilisers and cereals experienced significant price hikes, contributing to the rise in food prices and the overall cost of living.

#NTVWeekendEdition https://t.co/n2sY3W34Pw",Sun Dec 31 18:23:46 +0000 2023,5,25
10,@TisaKenya,"Dr. @Liz_Kimani of @aphrc presented the much-awaited UPR Report on the Right to Food, shedding light on Kenya's current standing. Key highlights include the impact of austerity measures on food access, the rising cost of living, and the growing challenge of malnutrition. The https://t.co/orACiRGnaS",Fri Sep 27 10:18:21 +0000 2024,12,28
11,PETER MAYA 🇺🇸,"President William Ruto’s administration has made several efforts to address the high cost of living in Kenya, with mixed results.
1.Subsidized Fertilizers and Agricultural Support
2.Hustler Fund
3.Reduction of imports taxes on food
4. Energy reforms 
#OnwardKenya
Kazi Iendelee https://t.co/DDTt2luxu9",Wed Sep 18 09:36:08 +0000 2024,7,8
12,NTV Kenya,"THE MEMO: 

The prevailing high cost of living and unemployment have sunk millions into abject poverty. 
The KNBS report says that two in five Kenyans were poor in 2022 with one in every three unable to meet their minimum food requirements.

#NTVTonight https://t.co/EYgSalHok5",Mon Nov 18 18:10:50 +0000 2024,16,39
13,H.E President William Ruto (Commentary),"A random Kenyan just shared this with happiness and can't believe the drastic drop in the cost of a 2kg packet of unga. Back in 2022, the same packet was costing KES 230, but vitu kwa ground leo ni KES 93. Just imagine! #KaziInafanyika and Kenyans are happy. Ruto delivers ✔️ https://t.co/TFXpOQcxMB",Fri Nov 15 13:04:24 +0000 2024,155,912
14,Kibet Benard,"The economy of Kenya is growing,the cost of food is falling.
It's a new country for all .
Welcome home 
#DeliveringThePlan #RutoEmpowers https://t.co/lr8jV2aO2r",Fri Apr 05 03:47:23 +0000 2024,6,10
15,K. Baffour®,"The price of 1kg of tomatoes is 110 shillings in Kenya.

110Kenyan Shillings = 13 cedis

Ghanaians are OK paying GH 20 cedis for 3-4 🙃 https://t.co/LH3m7Z5nJ4",Tue Jun 25 17:11:37 +0000 2024,423,883
16,H.E President William Ruto (Commentary),"The government of Kenya is ensuring that fertilizer reaches the farmers in time so that during the planting season, they can be able to plant without fail. This will help the country in enhancing food security, reduced cost of living, and management of inflation so as to grow out https://t.co/DN5mHofrO6",Sun Oct 27 15:19:04 +0000 2024,10,34
17,Kenya Daily Online,"""The transformation of our country is well underway. The economy has stabilized, food production has significantly increased, the cost of living has substantially reduced and the entire Bottom-Up Economic Transformation Agenda is on course"" President William Ruto. https://t.co/y2uxDzXyVP",Thu Nov 14 04:26:21 +0000 2024,45,48
18,NTV Kenya,"William Ruto: Kenya is spending KSh. 360B to import food and food items.

'Every Kenyan knows that the price of a 2kg packet of unga is now KSh. 230, up from KSh. 75 in 2018.'

#KenyaKwanzaManifestoLaunch #Maamuzi2022 https://t.co/aYgtxmo4N7",Thu Jun 30 16:38:39 +0000 2022,106,503
19,Citizen TV Kenya,"President Ruto: My administration has worked hard and consistently so that the price of essential commodities like ‘unga’ has dropped from Ksh.240 to Ksh.100. We reduced the cost of fertilizer from Ksh.7,500 to Ksh.2,500. The Shilling has also strengthened against the Dollar https://t.co/xExJiGBTSc",Wed Jun 26 13:44:24 +0000 2024,202,1131
20,KTN News,"CS John Mbadi: The calculation of inflation is based on the adjustment in the cost of basic commodities. In Kenya, what drives inflation is largely food and energy.

#NewsHour  @KenMijungu https://t.co/Sx5KvnOWfq",Wed Nov 27 18:35:39 +0000 2024,3,25
21,Kithure Kindiki (Commentary),Tanzanians recognize Kenya's success in keeping food prices affordable. The Kenya vs Tanzania comparison showcases Kenya's strategic efforts to reduce the Cost of Living effectively. https://t.co/yX9aXUAy1T,Wed Dec 11 04:33:14 +0000 2024,2,2
22,Czar Toreto,"Food accounts for 54% of household expenses in Kenya. To reduce the cost of living, the Govt has focused on agricultural reforms, shifting from consumption subsidies to production subsidies &amp; boosting agricultural productivity
#RutoDelivers
 The Plan https://t.co/dqsscIrL6J",Sat Sep 14 09:56:47 +0000 2024,11,8
