1,Demi Farms,"Vanilla beans farming in kenya

Many farmers are not aware of the value of vanilla beans whose market prices range from at least Sh20,000 to Sh70,000 a kilo.

Get quality seedlings (vines) and guidance on growing one of the most expensive spices. https://t.co/u9QyVLsnig",Thu Dec 29 14:10:00 +0000 2022,56,236
2,Demi Farms,"Onion prices shot up the last few weeks. What are the rates currently in your area?

#Kenya #KenyansBirthday #KenyaKwanzaDelivers #KenyaIsNotSafe #Nairobi #NairobiDeclaration #mombasa #nakuru #kisumu #eldoret #kajiado https://t.co/hZ0p3igST3",Sun Sep 10 07:05:42 +0000 2023,19,162
3,Demi Farms,"Rosemary
-It is an aromatic evergreen shrub with leaves similar to hemlock needles.
-Rosemary farming in Kenya is a profitable venture due to the high market demand, low production costs, stable prices, and access to markets. https://t.co/UIww5I8r2I",Sat Jan 27 22:00:00 +0000 2024,23,125
4,Demi Farms,"Onion shortage in #Kenya 

The country is experiencing a shortage of #onions due to a decline in imports from #Tanzania, which is the main source of onions for the Kenyan market.  

Prices of onions have gone up by more than Sh100 per kg.  

#onion #shortage #market #Tanzania https://t.co/9c0kkvolNV",Tue Aug 01 09:49:20 +0000 2023,12,69
5,Solution Sacco Kenya,"Are you looking for an Ideal land to farm, build a home  or carry out Business Activities ? Nanyuki Prime Land is the place to be .
 Join us this Saturday ,18th February  2023 for a Site Visit . 
Prices Starts at Kshs 350,000.
For More information Visit https://t.co/CTkq00nhKo https://t.co/rxKxNaknjT",Fri Feb 17 06:07:51 +0000 2023,0,4
6,Demi Farms,"The prices of tomatoes and onions in Kenya.

The traders cite that the rain spoiled the commodies hence there is current shortage and the consumer has to pay dearly. 

How much are you buying onions and tomatoes currently in your area. https://t.co/kDsO2oQljT",Wed May 29 08:26:26 +0000 2024,9,45
7,Rural Earth,"-quality feeds ranging from boma rhodes hay, wheat straw, lucerne/ alfafa hay are currently on sale across rural kenya.
-farm prices are currently low,due to a good harvest,take the advantage before they go up again.
-some listed prices on frame 3. https://t.co/SrLFDs2YYf",Fri Oct 11 05:08:44 +0000 2024,2,3
8,Agriteam Kenya,"2/2 Kenya will export farm produce like coffee, tea, vegetables, and flowers to the EU market. 

The agreement also encourages value addition, agro-processing, and manufacturing collaboration to fetch better prices and spur sustainable economic growth.

@NationAfrica https://t.co/eEwcQyHcRc",Wed Jun 21 07:04:00 +0000 2023,0,4
9,Caleb Ndolo,"I provide quality vegetable seedlings at affordable prices in Kenya.

Everyday I wake up expecting an update from a happy client .

Let me share with you about Muchene from Daraja Juja Farm. https://t.co/aXIl6NH4ID",Fri Jul 07 04:31:51 +0000 2023,8,28
10,Ronald Ngeno,"I am very interested with #hassavocado value chain, in terms of value, it's a game-changer 4 Kenya's agric sector.With its high yields and premium export prices,it's a fruit worth investing in. In 2022 the price of 1kg was Ks.80 for export.#citam Nyeri farm field day @ruforumsec https://t.co/9uJqzKFg6j",Sun Mar 12 09:41:17 +0000 2023,1,8
