1,H.E President William Ruto (Commentary),"A random Kenyan just shared this with happiness and can't believe the drastic drop in the cost of a 2kg packet of unga. Back in 2022, the same packet was costing KES 230, but vitu kwa ground leo ni KES 93. Just imagine! #KaziInafanyika and Kenyans are happy. Ruto delivers ✔️ https://t.co/TFXpOQcxMB",Fri Nov 15 13:04:24 +0000 2024,155,913
2,NTV Kenya,"William Ruto: Kenya is spending KSh. 360B to import food and food items.

'Every Kenyan knows that the price of a 2kg packet of unga is now KSh. 230, up from KSh. 75 in 2018.'

#KenyaKwanzaManifestoLaunch #Maamuzi2022 https://t.co/aYgtxmo4N7",Thu Jun 30 16:38:39 +0000 2022,106,503
3,OCTOPIZZO,"1/3

Import costs and inflation: Kenya currently rely heavily on imports for consumer goods, including food &amp; energy. Factors such as transportation costs, import taxes, &amp; currency fluctuations has significantly increased the prices of goods, making them more expensive for low https://t.co/xBPbDFn4Vk",Wed May 17 18:04:35 +0000 2023,76,466
4,TheStarKenya,"Are falling food prices an indicator of the economy looking up? 

#starkenyanews https://t.co/SOaFADRb6z",Tue Nov 12 07:23:13 +0000 2024,11,88
5,Citizen TV Kenya,"President Ruto: My administration has worked hard and consistently so that the price of essential commodities like ‘unga’ has dropped from Ksh.240 to Ksh.100. We reduced the cost of fertilizer from Ksh.7,500 to Ksh.2,500. The Shilling has also strengthened against the Dollar https://t.co/xExJiGBTSc",Wed Jun 26 13:44:24 +0000 2024,202,1131
6,Goddie,"Unga is now retailing at kshs 89, sugar at Kshs 120 per kg and cooking oil at kshs 200 per litre - Isaac Mwaura. https://t.co/JKXgXTEhkx",Mon Nov 11 18:29:51 +0000 2024,89,913
7,Yako Iko,"Here's a Brief of Kenya's Monthly Inflation Data over the last 5 months. 

#yakoiko
#inflation
#Kenya
#prices
#Food
#fuel https://t.co/i5KCHttrjJ",Sat Nov 30 20:46:36 +0000 2024,1,5
8,Kithure Kindiki (Commentary),"Despite complaints here, a Tanzanian leader acknowledges that Kenya’s growing economy makes life easier. Kenya vs Tanzania proves that our food prices and opportunities are better than what they face. https://t.co/HImnldh6ub",Tue Dec 10 11:43:39 +0000 2024,1,2
9,KeNHA 🇰🇪-🇹🇿-🇺🇬,"A friend took us to this place to chill and we bought a crate of Kilimanjaro 300ml at ksh 2000. That is 100 bob per bottle. 
And food 1 kg meat at ksh 700. 
The music kwa club is what you would hear in Kenya so no big difference.
Paid a waiter ksh 250 to hostpot us. https://t.co/n9K7lAujLw",Sat Jan 04 07:11:03 +0000 2025,13,217
10,Joe Mbaka,"From farm to market, agriculture is evolving. 

Improved productivity and value chains mean higher yields, better prices, and a more food-secure Kenya.

Investing in farmers is investing in the nation. 

#ResultsYouCanSee
Feel The Transformation https://t.co/a71FiEG8b3",Fri Feb 07 08:11:04 +0000 2025,4,1
11,mwariri hassan,"Numbers never lie

From jobs to Hustler Fund to food security to digitization of government services, affordable housing, and decreasing the prices of common commodities in Kenya. For real, President is a Man On A Mission to transforming Kenya.

#NumbersDontLie
Ruto Delivers https://t.co/5In1wztbAx",Mon Dec 16 07:21:19 +0000 2024,12,12
12,𝖒𝖆𝖈𝖍𝖆𝖗𝖎𝖆 𝖒𝖚𝖈𝖔𝖒𝖇𝖆,"Food Security Revolution in Action!
Kenyan farmers winning through:
✅ Smart subsidies empowering local production
✅ Sustainable farming taking root
✅ Import dependency dropping
Made in Kenya, grown by Kenyans! 🇰🇪
#RutoDelivers Prices Fall Plan Is Working https://t.co/EhdJQwZ9uP",Thu Nov 07 06:34:49 +0000 2024,14,11
13,Linet Ida,"Recruiting 76,000 teachers is an investment in Kenya’s future. Every child deserves quality education!Affordable fertilizer = more food production = lower food prices. It's a win for farmers and consumers alike.#RutoTheOvercomer 
Impact You Can Feel https://t.co/u57Yzk92fG",Mon Jan 20 05:29:52 +0000 2025,5,3
14,Nobody I swear:,"As per a client survey we've been conducting, supermarkets have been increasing the prices of food and essential items by approx. Kshs.15 every 2 weeks even on commodities whose global prices have been declining then blind you with 'offers'.
The Kenyan 'inflation' is very sus 😒!",Sun Apr 23 19:51:29 +0000 2023,404,858
15,Musalia W Mudavadi,The cost of living is becoming unbearable for a majority of Kenyans. The price of cooking oil and unga is at its highest. https://t.co/L5dW4rbj1b,Mon Jul 04 16:38:50 +0000 2022,156,1519
16,Kithure Kindiki (Commentary),Tanzanians recognize Kenya's success in keeping food prices affordable. The Kenya vs Tanzania comparison showcases Kenya's strategic efforts to reduce the Cost of Living effectively. https://t.co/yX9aXUAy1T,Wed Dec 11 04:33:14 +0000 2024,2,2
17,big yinks💔,"rice - 40 naira
spag - 20 naira 
beans - 10 naira
plantain - 10 naira
meat - 20 naira.

100 naira been dey buy food that year, we are finished.",Wed Oct 09 15:58:04 +0000 2024,1311,6806
18,NTV Kenya,"CBK sees inflation below target despite rising food prices

https://t.co/Ld5EKMDntg https://t.co/8o5eeEa4Ec",Sat Feb 08 13:45:13 +0000 2025,1,22
19,NTV Kenya,"Cooked Edible Oils Prices:

A litre of cooking oil is still retailing at between KES 275 - 500, contrary to Trade CS Moses Kuria's claim that the commodity is now retailing at KES 218. 

#NTVTonight @Ben_Kitili @Martin_Mwangi05 https://t.co/3P8vXfujAR",Thu Jun 22 18:18:55 +0000 2023,116,261
20,I ❤️ Kenya 🇰🇪,Stabilizing fuel and food prices has not only alleviated household pressures but also strengthened Kenya’s overall Economic Stability. https://t.co/2QatoOqtmm,Tue Jan 21 04:55:33 +0000 2025,11,1
21,kikuyu_west_icon,"By prioritizing farmers’ needs, President Ruto has laid the foundation for a food-secure Kenya. Affordable fertilisers, increased productivity, and lower food prices define his leadership.#RutoTheOvercomer 
Impact You Can Feel https://t.co/gF1jMmXoES",Mon Jan 20 06:34:00 +0000 2025,4,0
22,K. Baffour®,"The price of 1kg of tomatoes is 110 shillings in Kenya.

110Kenyan Shillings = 13 cedis

Ghanaians are OK paying GH 20 cedis for 3-4 🙃 https://t.co/LH3m7Z5nJ4",Tue Jun 25 17:11:37 +0000 2024,423,883
23,Rufas Kamau ⚡,"In Kenya, the average price of goods and services for a typical household has gone up over 30% since Jan 2020. But somehow, the reported inflation today is 5.1% yoy. https://t.co/yaMJxht6AD",Sun Jun 09 13:03:01 +0000 2024,156,317
24,𝗞𝗜𝗣𝗥𝗢𝗧𝗜𝗖𝗛 𝗦𝗡𝗥,"With the reduction in fertilizer prices, President Ruto is Delivering The Promise by ensuring farmers can grow more, leading to affordable food and better livelihoods for families across Kenya.

#ListeningPresident https://t.co/Zow4Mc0oR1",Mon Nov 25 05:15:03 +0000 2024,5,2
25,IREENAH🇰🇪,"Both leaders commended efforts to lower inflation, reduce food prices, and stabilize Kenya’s economy amid global challenges, underscoring the resilience of the nation’s people. #UnitingKenya Ruto Uhuru Raila",Mon Dec 09 14:31:10 +0000 2024,0,0
26,"Cyprian, Is Nyakundi","Kenyan consumers are bracing for increasing rice and wheat flour prices this month after the government slapped a 2% levy on cereal imports starting August 12, as traders voice frustrations over increased import costs that include a myriad of additional state charges—such as Ksh https://t.co/cDG4VWc97M",Mon Aug 26 05:47:06 +0000 2024,79,201
27,𝐖𝐀𝐍𝐉𝐈𝐊𝐔,"President Ruto has transformed Kenya’s agricultural landscape, with lower fertiliser prices and increased food production. These reforms are helping to reduce food costs and provide for more Kenyan households. #RutoTheOvercomer 
Onwards https://t.co/xMAZ63NyIq",Thu Feb 06 09:06:31 +0000 2025,2,1
28,NTV Kenya,Inflation drops to 17-year low on falling food and fuel prices https://t.co/8K3WvkTrah https://t.co/1oesWvysma,Fri Nov 01 12:15:19 +0000 2024,6,52
29,Oscar Sudi Commentary,"Fertilizer price cuts are a game changer! Increased food production lowers prices, supports farmers, and strengthens Kenya’s agricultural sector. A food-secure nation is a prosperous nation with thriving rural economies.  
#RutoTheOvercomer 
Onwards https://t.co/BQseBWvFqW",Thu Feb 06 09:22:10 +0000 2025,1,0
30,NTV Kenya,"November Inflation Hits 2.8%

Food &amp; non-alcoholic beverage prices up to 4.5% from 4.3%

Commodity prices in transport down by 1.1%

#NTVBusiness @MichelleNgele_ https://t.co/WzX8n3YtGm",Fri Nov 29 18:30:15 +0000 2024,0,6
31,Ruto Stan!,"In 2024, Kenya achieved:

✔️65% reduction in maize imports
✔️Lowest imports in 8 years
✔️Subsidised fertiliser programme reached up to 6.45M farmers
✔️A drop in food prices nationwide

Visible Results. The Plan Is Working. KCSE 2024
#RutoMchapakazi https://t.co/E28Kxu1BW6",Thu Jan 09 14:59:19 +0000 2025,13,3
32,NTV Kenya,"Kenya has slapped a two per cent levy on cereal imports in what could see an increase in the prices of maize, rice and wheat.
https://t.co/PV1KnvbT4i https://t.co/xO2tu6xcSP",Thu May 30 13:15:25 +0000 2024,28,218
33,Oscar Sudi Commentary,"How many leaders could transform Kenya’s agriculture into a powerhouse? Ruto’s policies slashed fertilizer prices, boosted production, and made Kenya self-sufficient, ensuring food security and strengthening the country’s agricultural  #RutoTheOvercomer 
Impact You Can Feel https://t.co/UuJSkQkBL1",Mon Jan 20 06:28:23 +0000 2025,2,1
34,Luke📡🏴‍☠️,"Deportations &amp; lower food/gas prices are good

But what I -REALLY- want is to see these globalists rounded up &amp; handed over to places like Kenya to face justice for their crimes against humanity

The world won’t be truly safe or healed until justice is served at the end of a rope",Mon Jan 27 15:47:43 +0000 2025,2,26
35,Oscar Sudi Commentary,"President Ruto revived Kenya’s agricultural sector through targeted reforms, ensuring food surplus and lowering prices. His policies empowered farmers and positioned Kenya as a leader in sustainable agriculture.  
#RutoTheOvercomer 
Impact You Can Feel https://t.co/at1PR21qn7",Mon Jan 20 05:39:55 +0000 2025,2,1
