1,Nurdin,NEWS JUST IN: Massive celebrations in Kenya Kwanza strongholds as the Gov't increases fuel prices from KES 156 per litre to KES 179 per litre. Hustlers who've been interviewed say they thank God for increasing the cost of living and bringing Freedom At Last. David Ndii Ni God https://t.co/wytK7peT3Y,Thu Sep 15 07:55:13 +0000 2022,53,321
2,Cytonn Investments,"The Energy and Petroleum Regulatory Authority (EPRA) released their monthly statement on the maximum retail fuel prices in Kenya, effective from 15th June 2024 to 14th July 2024. Notably, the maximum allowed price for Super Petrol, Diesel and Kerosene decreased by Kshs 3.0, Kshs https://t.co/MRQOw87Mal",Fri Jun 14 13:22:38 +0000 2024,22,25
3,De Heus Animal Nutrition Kenya,"Find the recommended retail prices for all our products at De Heus Kenya Shops country wide. For transparency and accuracy, we share our official prices only on our verified social media platforms.  

 #DeHeus #FarmerSupport #TransparentPricing https://t.co/zMl8g0RJut",Thu Feb 06 07:49:02 +0000 2025,0,0
4,Reuters Business,Kenya has reinstated a small fuel subsidy in a reversal of government policy following public anger over the high cost of living. The aim is to stabilize retail fuel prices over the next 30 days https://t.co/bXek10YjEU https://t.co/vLnuK5YbOh,Tue Aug 15 18:50:00 +0000 2023,4,11
5,Reuters Business,A small subsidy has been reinstated in Kenya for 30 days to stabilize retail fuel prices following violent anti-government protests over the cost of living https://t.co/bXek10XLPm https://t.co/QeTMXS28vE,Tue Aug 15 22:50:00 +0000 2023,1,4
6,Citizen TV Kenya,"EPRA increases petrol prices by Sh5.72 to retail at Sh217.36 per litre in Nairobi, diesel up by Sh4.48 to retail at Sh205.47, kerosene up by Sh2.45 to retail at Sh205.06 https://t.co/eVFLJCZu0m",Sat Oct 14 12:37:45 +0000 2023,145,528
7,H.E President William Ruto (Commentary),"A random Kenyan just shared this with happiness and can't believe the drastic drop in the cost of a 2kg packet of unga. Back in 2022, the same packet was costing KES 230, but vitu kwa ground leo ni KES 93. Just imagine! #KaziInafanyika and Kenyans are happy. Ruto delivers ✔️ https://t.co/TFXpOQcxMB",Fri Nov 15 13:04:24 +0000 2024,155,913
8,Citizen TV Kenya,"BREAKING: Petrol increases by Sh16.96 to retail at Sh211.64 per litre in Nairobi, diesel up by Sh21.32, kerosene up by Sh33.13 to retail at Sh202.61 in new EPRA monthly prices review. https://t.co/SpKysFN6J3",Thu Sep 14 20:03:18 +0000 2023,367,1070
9,Citizen TV Kenya,"Fuel prices pumped up again:

Price of petrol up by Ksh. 5.72 to retail at Ksh. 217.36. Price of diesel up by Ksh 4.48 to retail at Ksh. 205.47. Price of kerosene up by Ksh 2.45 to retail at Ksh. 205.06.

Chirchir: We cushioned Kenyans using the petroleum devt levy https://t.co/5p93ByI1nu",Sat Oct 14 18:09:17 +0000 2023,12,52
10,NTV Kenya,"Petrol, diesel and kerosene prices drop by Sh1 in Epra monthly review; to retail at Sh206.36, Sh195.47 and Sh193.23 per litre respectively in Nairobi. https://t.co/J2nwCYFrdq",Wed Feb 14 15:49:06 +0000 2024,57,432
11,Mynzagric254,"Pomegranate Farming- Kuku Manga

In Kenya, the retail prices for one fruit range from Ksh 150 – ksh 300 while the wholesale prices range from Ksh 80 – Ksh 100. The fruit retails at premium prices in the export market with one kilo going for an average price of between Ksh 1500 – https://t.co/rWS90Fa0Ph",Tue Jul 11 06:29:14 +0000 2023,0,10
12,Who Owns Africa?,"PRICE WATCH!

Here are the retail prices of 2kg of Maize Flour at @naivas_kenya and @CarrefourKe https://t.co/otNlpCpmWo",Thu Jan 05 12:52:14 +0000 2023,4,21
13,Reuters,A small subsidy has been reinstated in Kenya for 30 days to stabilize retail fuel prices following violent anti-government protests over the cost of living https://t.co/30BZZELfoP https://t.co/n3Sdb08RpO,Tue Aug 15 18:35:00 +0000 2023,9,25
