1,U D A - Official Fans Page.,"Kenyans! A quick reminder...

UHURU: 6kg Gas was Kshs. 1500.
RUTO: 6kg Gas is Kshs. 1000. 

UHURU: 1L cooking oil was Kshs.400.
RUTO: 1L cooking oil is Kshs. 200.

UHURU: 2kg unga was Kshs. 230. 
RUTO: 2kg unga is Kshs. 97.

UHURU: 1kg sugar was Kshs. 250. 
RUTO: 1Kg sugar is https://t.co/XBhGLJxJsN",Wed Dec 04 05:44:44 +0000 2024,123,842
2,NTV Kenya,Tanzania: Fuel prices decrease in line with global market trends https://t.co/8Smu5uOaTw https://t.co/jbmlr53MU0,Thu Feb 08 09:45:15 +0000 2024,284,1640
3,Kura Chihota,"I tried...it's an observed data point...Zim prices relative to SA seem wild.
If we were to be scientific , we'd need to compare to wilder places on our continent , Kenya, Kinshasa and we'd moderate our views.
At the end of the day the market intercepts at a price the seller finds https://t.co/IzY4LJG2pM",Mon Feb 19 18:48:16 +0000 2024,56,216
4,Kabuu ⚡,"Hey @elonmusk, I’m an entrepreneur based in Kenya. I have a great proposal on how Tesla can break into the African market while still keeping the prices of the vehicles relatively affordable. This is me shooting my shot, I hope to hear from you.",Thu Mar 11 19:40:44 +0000 2021,977,2227
5,#SpaceYaMagari,"Happy Sabbath Watu wa Magari,🤗

Saturday CAR MARKET day🤪

Let's do a THREAD of CARS we can BUY for 1MILLION shillings or less in kenya.

(Post pics and prices if possible)

Starting with the 
SUZUKI SWIFT
#SpaceYaMagari 

CC
@BobWaMagari 
@esnahmoraa 
@Kevoh_254 
@alexmwanzo https://t.co/KBrI5tvr2e",Sat Dec 04 06:54:46 +0000 2021,13,27
6,Citizen TV Kenya,"Gladys Boss - Deputy Speaker, N.A.: I agree that Kenyans are hurting. Fuel prices have gone up because of the oil market worldwide. There's nothing we can do about it; we're at the mercy of OPEC and can only pray that we're able to produce our own oil someday #DayBreak @SamGituku https://t.co/9vvfnhmoyD",Mon Oct 16 05:54:59 +0000 2023,46,312
7,Morara Kebaso,"Dear My Sponsors the People of Kenya
We can do a presidential Sound at 1.2M or a Middle Sound at 838,200. Kindly review the quoted prices and verify if they are within market rate. For the sound system i have already raised 325,000 on Mpesa Number 0708985611. I hope more Kenyans https://t.co/B12kyoUyxB",Mon Sep 02 12:21:55 +0000 2024,5711,15300
8,Nurdin,NEWS JUST IN: Massive celebrations in Kenya Kwanza strongholds as the Gov't increases fuel prices from KES 156 per litre to KES 179 per litre. Hustlers who've been interviewed say they thank God for increasing the cost of living and bringing Freedom At Last. David Ndii Ni God https://t.co/wytK7peT3Y,Thu Sep 15 07:55:13 +0000 2022,53,321
9,"Cyprian, Is Nyakundi",Charcoal prices hit 54-month high at Ksh 84.41 per kilogram. https://t.co/LsqxOdpeBp,Wed Sep 18 21:51:51 +0000 2024,24,270
10,"Cyprian, Is Nyakundi","A study commissioned by Australian invoicing software firm Bookipi shows the average price for a freelance job in Kenya is $111.99 - approximately Ksh. 14,894 at current exchange rates. https://t.co/aNflpYx4Pi",Fri Apr 19 03:23:00 +0000 2024,34,306
11,Samson Ogola,"Picture this...

- Kenya Power is making profits

- Kenya Airways is making profit

- KenGen is making profit

Companies that were struggling..

- Unga is 100/-

- Sugar is about 120/-

- Cooking gas is about 1k

- Cooking Oil is about 200/- per litre

Things that used to cost a",Wed Oct 30 18:29:53 +0000 2024,258,1104
12,Citizen TV Kenya,"Moses Kuria: The price of cooking oil is much lower than what you project there, and Kenyans know that… It’s in the region of Ksh.230 – 240 a litre

A spot-check on the same at one of the leading supermarkets shows otherwise

#TheBigConversation https://t.co/CWp38dU3v4",Wed Sep 13 17:15:38 +0000 2023,347,1523
13,Aliyu ATK,"19 june 2024

Soba Market kaduna state 
Prices

Maize N81,000
Soya N78,000
Beans N165,000
Rice N55,000 https://t.co/3qXgTm86jn",Wed Jun 19 11:49:55 +0000 2024,155,320
